x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,value,Timestamp
-1,2,2,-1,-2,2,-2,-1,0,1,1,0,5.014888538300049,12
-1,1,2,0,1,-1,-2,2,-1,2,0,2,5.014888538300049,17
-1,2,-1,1,-2,-2,2,-2,-2,1,-2,1,5.645409385190774,22
2,2,-1,-1,2,2,-2,1,-1,-1,2,-1,5.422131717799509,26
2,-1,1,-2,0,2,-2,1,0,1,1,-2,5.014888538300049,30
1,-1,-2,2,2,1,2,0,0,-2,1,-1,5.014888538300049,34
-2,-1,0,1,-1,-2,0,1,1,2,1,0,4.34511045350505,39
-1,2,2,-1,0,0,-2,1,-1,0,1,-2,4.649360376514142,43
0,0,-1,-1,-1,-2,-2,-2,1,0,2,-2,4.927233671124704,48
1,-2,-2,2,2,2,2,-2,-2,-1,0,1,5.786854894974006,52
1,0,0,0,0,-1,-1,0,0,0,1,1,2.4222687912646816,56
0,2,-2,-1,1,-1,0,-2,-2,-1,0,2,4.927233671124704,60
-2,-1,2,1,0,-1,1,1,0,2,1,1,4.449836924951551,65
-2,1,2,0,0,-1,-2,-2,-2,2,1,-2,5.49813519806202,686
-2,2,2,0,-1,-1,-1,0,1,2,1,2,5.014888538300049,1344
1,0,0,0,0,1,-1,-2,-2,-2,1,0,4.124259872794621,1982
-2,0,1,2,2,-1,-1,2,2,2,1,1,5.344442157239921,2646
-2,0,2,0,2,2,2,0,2,2,1,0,5.344442157239921,3346
-2,0,2,-2,0,2,2,2,-1,-2,1,1,5.49813519806202,3995
2,0,2,0,0,-1,2,2,2,2,1,1,5.183635586365643,4739
-2,0,-2,0,-2,2,-1,0,-1,2,1,1,4.927233671124704,5514
1,1,1,2,0,-1,-1,0,1,0,1,1,3.6253849384403627,6290
2,0,0,0,0,-1,-1,0,0,0,1,1,3.0132613985096453,6994
-1,0,0,-1,0,-1,-1,0,-2,-2,1,2,4.236696754403045,7788
0,0,0,0,0,0,-1,0,0,1,1,1,2.1810549542317834,8427
0,1,0,0,0,0,-1,0,2,1,1,1,3.180697372139058,9032
0,0,-2,-1,0,-2,-1,0,2,1,2,1,4.55116827767262,9703
0,0,-1,-2,0,0,-1,0,-1,2,1,1,3.7585653133203754,10362
0,0,0,2,0,1,-1,0,2,0,1,1,3.6253849384403627,11048
0,2,2,0,0,0,-1,0,0,2,1,1,4.007410226459292,11735
0,0,0,0,0,0,-1,1,0,1,1,1,2.4222687912646816,12359
0,2,0,1,0,-2,-1,-1,0,1,1,1,3.8856918288555744,13055
0,0,1,0,0,-2,-1,-2,2,1,1,1,4.236696754403045,13676
0,0,-2,0,0,-1,-1,0,-1,-2,1,1,3.7585653133203754,14306
0,0,0,1,0,0,-1,0,0,2,1,1,3.0132613985096453,14975
0,0,0,0,0,2,-1,0,-1,-1,1,1,3.180697372139058,15724
0,-1,2,0,0,0,-1,0,0,1,1,-1,3.180697372139058,16435
0,0,2,0,0,0,-1,0,0,1,1,-1,3.0132613985096453,17145
1,0,0,0,0,-1,-1,0,0,1,1,2,3.180697372139058,17937
0,-1,2,0,0,0,-1,0,0,1,1,1,3.180697372139058,18683
0,0,0,0,0,-1,-1,1,0,0,1,0,2.1810549542317834,19423
0,0,0,-1,1,0,-1,0,0,-1,1,0,2.4222687912646816,20220
0,0,0,0,1,0,-1,0,0,0,1,0,1.903251639280811,20950
1,0,0,0,1,0,-1,0,0,0,2,0,2.8331576936209477,21686
1,0,0,0,2,0,-1,0,0,0,1,0,2.8331576936209477,22478
0,0,0,0,0,0,-1,1,0,0,1,0,1.903251639280811,23181
0,1,0,0,0,0,-1,1,0,0,1,0,2.1810549542317834,23929
0,-2,1,2,-1,1,1,0,1,2,-1,-2,4.744638830078376,23988
0,0,0,1,0,0,-1,-1,0,0,0,0,1.903251639280811,24641
0,0,0,1,0,0,-1,-1,0,0,1,0,2.1810549542317834,25272
0,-1,0,0,1,0,-1,1,0,-1,-1,-1,2.8331576936209477,25907
0,0,0,0,0,0,-1,0,0,0,0,0,1.1219995519820931,26523
0,1,0,-1,-1,0,-1,0,1,0,-2,-1,3.337543285551192,27156
0,0,0,0,0,1,-1,0,0,0,0,0,1.5681044916751152,27812
0,0,0,0,0,0,-1,0,1,0,0,0,1.5681044916751152,28510
0,0,0,0,0,0,0,0,0,0,0,0,4.440892098500626e-16,29249
1,0,0,0,0,0,0,0,0,0,0,0,1.1219995519820931,29892
0,0,0,0,0,0,0,0,0,0,0,1,1.1219995519820931,30539
0,0,1,0,0,0,0,0,0,0,0,0,1.1219995519820931,31200
0,0,0,0,-2,0,0,0,0,-1,0,0,2.4222687912646816,31872
0,0,0,0,0,0,0,0,0,1,0,0,1.1219995519820931,32582
0,0,0,1,0,0,0,0,0,0,0,0,1.1219995519820931,33229
0,1,2,2,0,0,1,2,1,-2,1,1,4.649360376514142,33291
0,0,0,0,1,0,0,0,0,0,0,0,1.1219995519820931,33903
-2,-2,0,-1,2,-2,2,-1,2,-2,-2,-2,5.989183125881905,34635
2,0,-2,-2,-1,2,2,-2,2,-2,2,-2,6.180954859900268,35540
2,-1,-2,-2,2,1,2,2,-2,2,-1,-2,6.054217315913252,36405
-2,-2,-1,1,-2,2,0,2,0,-2,1,-2,5.49813519806202,36616
2,1,2,-2,-2,-2,2,2,-2,-2,-2,-2,6.42222942479729,37477
-2,2,-2,-2,2,2,-2,-2,2,2,-2,2,6.593599079287213,38320
1,1,1,1,-2,2,1,0,-1,0,-1,-2,4.449836924951551,38493
2,-1,-2,2,-2,1,-1,2,-1,0,-2,2,5.572535584231876,39401
-2,-2,2,2,-2,2,2,-2,2,-2,-2,2,6.593599079287213,40194
2,-2,2,2,2,-2,2,-2,-2,2,2,-2,6.593599079287213,41075
-2,2,-2,2,2,-2,2,2,-2,1,-1,-2,6.24274206211723,41999
0,1,0,0,0,0,0,0,0,0,0,0,1.1219995519820931,42831
2,-2,2,-2,-2,2,0,-1,-2,2,-2,2,6.180954859900268,43651
-1,-2,-2,-2,0,0,1,2,2,0,-2,2,5.422131717799509,44378
-2,-2,-2,-2,-1,-2,2,-2,-2,1,2,-2,6.24274206211723,45155
2,2,2,2,2,2,-2,-2,2,-1,-2,-2,6.42222942479729,46008
2,-2,-1,2,2,-2,-2,0,-2,2,-2,-2,6.180954859900268,46770
0,0,-1,-1,0,0,0,0,1,0,0,-1,2.1810549542317834,47953
2,2,2,-2,2,-2,2,-2,2,-1,-2,2,6.42222942479729,48790
-2,-1,2,2,2,-2,-2,-2,-2,-2,-2,2,6.42222942479729,49579
2,2,-2,2,-2,2,2,2,-1,2,2,2,6.42222942479729,50371
0,0,0,0,0,0,1,0,0,0,0,0,1.1219995519820931,51131
-1,0,1,1,1,1,-1,-2,-1,1,0,2,4.124259872794621,51323
-2,2,2,2,-1,-1,2,-2,2,-2,2,-2,6.24274206211723,52128
-1,-2,-2,-2,-2,2,-2,-2,-1,-2,-2,-2,6.24274206211723,52986
-1,2,2,2,2,2,2,2,-2,2,-2,2,6.42222942479729,53910
2,-2,2,-1,-2,-2,-2,2,2,-2,-2,2,6.42222942479729,54776
-2,2,-2,2,-2,-2,-2,2,2,-2,-2,2,6.593599079287213,55661
2,-2,-2,2,2,-2,2,-2,2,2,-2,2,6.593599079287213,56489
-1,0,0,0,0,0,0,0,-2,0,-1,0,2.6375310921083046,57302
