x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,value,Timestamp
2,-1,-1,1,2,-1,-1,0,-2,-1,-1,0,-2,2,-1,4.781979982624225,22
2,2,2,2,1,0,-1,-1,1,0,-1,0,0,2,2,4.855407179766363,28
0,1,-1,-2,1,2,-2,-2,0,2,1,0,-2,2,0,5.066401964042267,32
-2,-1,2,-2,2,2,0,2,-1,2,2,-2,-1,-1,-2,5.800698998872207,36
-1,-2,1,0,2,0,-2,2,-1,1,2,-1,0,1,2,4.927233671124704,41
0,1,2,0,1,2,2,0,-1,0,1,-1,2,2,-2,4.855407179766363,45
-1,0,-1,-1,1,1,-1,-2,-1,0,-1,1,0,-1,2,3.9349958554848574,49
-1,1,-1,0,-2,2,-2,-2,-1,-2,2,1,-1,1,2,5.26497626139572,53
2,2,-1,-1,-2,0,-2,2,-2,-1,-2,2,-2,0,2,5.745001683838307,58
-1,0,2,-1,0,1,-1,0,-2,-1,-1,-1,2,-2,0,4.387426259560009,62
-2,-1,-1,0,-2,-2,-2,-1,2,-2,1,0,-2,0,1,5.133886902504635,66
0,2,-1,0,1,0,-1,1,1,0,-2,0,1,-1,1,3.7324364042112532,71
0,0,-2,2,0,2,1,-2,-2,-2,-2,0,2,-1,2,5.452730638548356,75
1,1,0,0,0,-1,1,1,1,-1,-1,0,1,1,1,3.148115238272134,81
0,-1,1,-2,2,0,0,0,0,1,0,0,1,-1,-1,3.513960746010842,85
1,-2,0,0,-1,-2,0,0,0,0,0,-1,1,1,1,3.513960746010842,90
2,0,0,2,-2,-2,2,2,2,-1,0,1,1,2,2,5.513140985892029,1141
1,1,2,0,0,-1,2,1,2,-1,2,1,1,2,2,4.997540442167399,2098
2,0,0,-1,2,-2,2,1,2,1,-1,0,1,2,1,4.927233671124704,3227
2,0,2,0,-1,0,2,-1,0,-2,-1,-1,1,2,-2,4.855407179766363,4085
-2,-1,2,2,-1,1,0,0,-1,-1,-2,-2,-2,1,2,5.200058730719189,4790
2,1,0,0,1,-1,1,1,1,-1,-1,0,1,1,1,3.6253849384403627,5571
2,-1,2,0,0,2,-2,0,2,0,2,2,1,-2,1,5.26497626139572,6419
1,2,2,0,-2,-1,2,-1,0,2,-1,-1,1,-2,1,4.997540442167399,7217
0,2,0,0,0,1,1,2,1,1,-2,0,1,2,0,4.21454285630703,8194
-1,2,0,0,0,0,-1,0,2,-2,2,2,1,-2,1,4.781979982624225,9065
1,2,0,0,-2,1,-2,1,-2,-2,-2,0,1,-1,1,4.927233671124704,9934
1,1,0,0,-2,-2,-1,2,1,2,1,-1,1,2,1,4.781979982624225,10735
1,2,0,0,-1,2,1,-1,1,-1,-2,-1,1,1,2,4.55116827767262,11540
0,-2,0,0,0,0,-2,1,1,-1,-1,1,1,-1,1,3.7324364042112532,12609
-2,-2,-1,0,0,-2,2,-1,0,0,-1,-2,1,2,1,4.855407179766363,13628
1,2,1,2,0,2,-1,1,0,2,-2,-2,-1,0,2,5.133886902504635,13680
1,0,0,0,-1,-1,1,1,0,2,-1,-2,1,-2,2,4.387426259560009,14457
1,2,0,0,1,0,2,1,1,0,-2,0,1,2,1,4.3022051790294995,15344
1,0,-1,0,-1,2,0,-1,1,-1,-1,1,1,2,0,3.83552368243263,16335
0,-2,0,0,2,-1,2,2,1,-2,-1,0,1,2,-2,5.066401964042267,17168
1,2,0,0,1,-1,2,2,2,-1,-1,0,1,2,1,4.706863755768467,17980
1,1,0,1,0,-1,2,1,1,0,-1,0,1,2,2,4.124259872794621,18806
0,2,-1,0,-2,-1,2,2,1,0,-1,-2,2,1,1,4.927233671124704,19788
1,2,0,0,0,1,0,2,1,-2,-1,-2,1,1,1,4.387426259560009,20727
1,-2,-2,0,0,-1,-1,2,-1,-2,-2,0,0,1,1,4.629961873718873,20854
0,-2,-2,-1,0,1,0,0,1,-2,-1,0,1,1,2,4.3022051790294995,21756
0,2,-1,2,2,-1,0,0,0,0,0,-1,1,1,0,3.83552368243263,22630
1,1,0,0,-2,-1,0,1,1,-2,-2,0,1,-2,1,4.387426259560009,23513
1,2,2,-2,-2,-2,2,1,1,1,-1,0,1,-2,1,5.26497626139572,24366
1,1,0,-1,0,1,0,-2,1,2,-1,0,1,1,2,4.124259872794621,25288
0,2,0,1,0,-1,2,1,0,-1,-2,0,1,0,0,3.83552368243263,26131
-2,2,0,2,0,-2,1,1,0,0,-2,0,1,1,1,4.55116827767262,26949
1,1,0,0,0,-1,1,1,1,2,-1,1,1,1,2,3.9349958554848574,27892
1,-2,0,0,0,-2,1,0,0,0,0,0,1,1,1,3.397680636358935,28743
0,0,0,-2,1,1,2,0,1,-2,-1,1,1,0,0,3.9349958554848574,29686
2,-2,0,1,0,-2,1,0,1,-2,2,0,1,0,1,4.55116827767262,30542
1,-2,-2,2,0,-1,-2,-2,1,0,-1,0,1,0,0,4.55116827767262,31410
1,2,0,-1,1,-1,1,-2,0,2,0,0,1,0,0,3.9349958554848574,32308
