x1,x2,x3,x4,x5,x6,x7,x8,value,Timestamp
0,2,1,-1,2,2,1,0,4.791248864181821,6
1,2,2,0,-1,2,1,2,5.304937200273958,11
-2,0,0,2,-2,2,2,2,5.855552955621501,17
1,-2,2,2,2,1,-2,-2,6.054217315913252,23
1,2,1,-1,-1,1,-1,0,4.007410226459292,29
2,-1,1,0,1,0,-1,2,4.34511045350505,35
0,-1,2,-2,-2,0,-1,-2,5.183635586365643,40
-1,2,-1,2,2,0,-1,1,4.927233671124704,47
2,-2,2,2,-2,0,-1,0,5.5355308527862945,52
2,-2,1,2,-2,-2,-2,2,6.333554181812733,624
-2,-2,0,-1,0,-2,-1,2,5.183635586365643,1110
2,2,1,-1,1,2,-2,1,5.422131717799509,1675
2,2,0,-1,-1,0,-1,1,4.34511045350505,2241
-1,2,1,-1,-1,2,-1,-1,4.649360376514142,2807
1,2,2,-1,-1,-1,-1,0,4.500910227060881,3305
2,2,2,-1,-1,2,0,-1,5.304937200273958,3940
1,2,2,-1,-1,2,-1,2,5.422131717799509,4490
2,2,-1,-1,-1,0,-1,0,4.34511045350505,4993
1,2,2,-1,-1,2,-1,0,4.927233671124704,5491
2,1,-1,2,-2,2,2,2,6.054217315913252,5539
-2,2,1,-1,-1,1,-1,-2,5.057870911647608,6013
-1,0,0,-1,-1,1,-1,0,2.9249490295340626,6518
1,-1,0,-1,-1,1,-2,0,3.8228421303056384,7033
-2,0,0,1,-1,-1,1,0,3.6253849384403627,7576
-1,0,0,0,-1,2,2,0,4.007410226459292,8118
2,0,0,-1,-1,0,-2,0,4.007410226459292,8697
-2,0,0,-2,-1,1,-1,0,4.181004170736109,9248
-2,-2,0,-1,-1,-1,0,0,4.181004170736109,9815
-2,1,0,-1,-1,0,-2,0,4.181004170736109,10357
-2,-1,0,-1,-1,2,-1,0,4.34511045350505,10971
0,-2,-2,2,0,-2,2,-1,5.5355308527862945,11558
1,-2,-2,2,-1,-2,2,0,5.645409385190774,12044
2,-2,1,2,-1,-2,-2,-2,6.054217315913252,12553
-1,0,-1,-2,-2,2,-1,1,4.927233671124704,12674
2,2,0,-2,-2,-1,-1,0,5.183635586365643,13277
-1,-1,0,0,-1,1,-2,0,3.6253849384403627,13823
1,-2,-1,-2,0,2,-1,-1,4.927233671124704,13951
0,0,0,-1,-1,1,2,-1,3.6253849384403627,14777
0,2,-1,2,0,2,1,2,5.183635586365643,14891
2,1,0,-1,0,1,-2,1,4.34511045350505,15045
-2,0,0,-1,-2,1,2,1,4.791248864181821,15620
0,0,1,-1,-1,1,-2,0,3.6253849384403627,16178
0,-1,-1,-2,0,0,2,0,4.007410226459292,16752
-1,-2,-2,0,0,1,2,0,4.649360376514142,17323
0,0,-2,-2,-1,0,2,0,4.500910227060881,17891
-1,1,2,0,1,-1,-1,0,3.8228421303056384,18017
-2,0,-2,0,2,0,-2,0,4.927233671124704,18594
-1,2,1,2,0,0,2,0,4.649360376514142,19209
0,-1,0,-1,0,0,2,0,3.180697372139058,19789
-2,-2,1,1,-2,-2,2,-1,5.7520109936048485,20372
-2,0,2,0,0,0,2,0,4.34511045350505,20974
0,0,0,-1,0,0,2,0,2.9249490295340626,21572
-1,0,0,-1,0,1,2,0,3.4124999244112932,22157
0,0,0,0,0,0,0,0,4.440892098500626e-16,22710
0,0,-1,0,0,-2,0,-2,3.8228421303056384,23292
-2,2,2,0,-1,2,2,0,5.5355308527862945,23388
0,0,0,0,1,0,0,0,1.365371531532109,23961
1,0,0,0,0,0,0,0,1.365371531532109,24521
0,0,0,0,0,0,0,1,1.365371531532109,25077
1,0,-2,1,-1,-1,0,-2,4.34511045350505,25217
0,0,0,1,0,-2,0,0,2.9249490295340626,25809
0,0,-1,0,0,0,0,0,1.365371531532109,26327
0,1,0,0,0,0,0,0,1.365371531532109,26882
0,0,0,1,0,0,0,0,1.365371531532109,27436
2,2,-2,-2,2,-2,2,2,6.593599079287213,27995
0,0,1,0,0,0,0,0,1.365371531532109,28548
2,-2,2,-2,2,-2,2,-2,6.593599079287213,29128
2,1,-2,2,2,2,2,-2,6.333554181812733,29704
0,0,0,0,0,1,0,0,1.365371531532109,30287
0,0,0,0,-1,0,0,0,1.365371531532109,31014
2,-2,-1,0,-1,1,1,-1,4.500910227060881,31086
-2,-2,2,2,2,2,1,2,6.333554181812733,31590
-1,2,-2,2,-2,-2,-2,2,6.333554181812733,32178
2,-2,-2,2,2,2,-2,2,6.593599079287213,32967
0,0,0,0,0,0,0,-1,1.365371531532109,33555
-2,2,-1,-2,2,-2,2,-2,6.333554181812733,34120
-2,2,-2,2,-2,2,-2,-2,6.593599079287213,34698
2,-2,2,-2,-2,-2,2,2,6.593599079287213,35265
0,-1,0,0,0,0,0,0,1.365371531532109,35848
2,2,2,2,2,-2,2,-2,6.593599079287213,36420
2,-2,-2,-2,2,-2,-2,-2,6.593599079287213,37013
-2,-2,2,-2,2,2,-2,2,6.593599079287213,37607
0,0,0,0,0,0,-1,0,1.365371531532109,38169
-2,2,-2,-2,2,2,2,2,6.593599079287213,38779
-2,-2,2,-2,2,2,2,-2,6.593599079287213,39378
-2,2,2,-2,-2,-2,2,2,6.593599079287213,39929
0,0,0,-1,1,0,0,0,1.903251639280811,40530
0,0,-1,0,0,0,0,1,1.903251639280811,41111
-2,2,2,2,2,2,-2,-2,6.593599079287213,41705
