x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,value,Timestamp
1,1,1,-2,1,1,-1,0,2,-1,0,2,4.449836924951551,19
2,-1,2,-2,-2,-1,0,0,0,-2,-2,1,5.183635586365643,24
-1,0,1,-2,-1,2,-1,1,-1,1,-1,-2,4.55116827767262,28
-1,1,2,1,0,0,-2,1,2,0,-1,-1,4.34511045350505,33
-1,-2,-2,-2,0,2,2,-1,0,-1,0,-2,5.183635586365643,37
-2,-2,2,2,1,-2,0,2,-2,-1,-1,0,5.49813519806202,42
-2,-2,2,0,-1,1,-2,0,0,1,-2,1,4.927233671124704,46
2,2,2,0,2,-2,-2,0,-1,-1,0,1,5.183635586365643,51
-1,-2,-2,1,-1,0,0,2,-1,-1,-2,0,4.649360376514142,55
2,2,0,-2,1,-1,-1,0,1,0,2,0,4.55116827767262,59
-2,0,1,-1,0,-1,-2,2,-2,0,0,1,4.55116827767262,63
1,1,0,2,1,-2,0,2,1,0,2,0,4.55116827767262,68
-1,1,2,-1,-1,2,-1,0,-2,-2,-1,2,5.100312424022249,73
-2,-1,2,-1,2,-1,-2,-1,2,2,0,-1,5.344442157239921,800
-2,0,2,0,1,1,1,0,2,1,-2,-2,4.927233671124704,1543
-2,0,2,-2,-2,-2,-2,2,2,1,1,2,5.989183125881905,2318
-1,1,-1,0,-2,1,0,2,2,-2,1,2,5.014888538300049,3032
-1,0,0,2,2,-2,-2,-2,0,0,0,0,4.649360376514142,3053
0,2,2,2,0,-1,-1,-1,2,2,0,-1,4.927233671124704,3764
-1,0,2,0,0,-2,-2,1,2,0,1,0,4.449836924951551,4561
-2,0,0,-1,2,-2,0,1,2,0,1,-2,4.837203764515088,5371
2,-1,0,1,-2,-1,-1,2,2,1,-2,1,5.100312424022249,5393
-2,0,2,0,1,-2,-1,1,1,1,1,2,4.744638830078376,6104
-2,0,0,-2,-1,2,-2,2,2,0,0,2,5.344442157239921,6816
0,1,0,0,0,1,-2,2,2,-1,-2,2,4.837203764515088,7558
1,1,2,-1,1,2,-2,0,2,0,0,-1,4.649360376514142,8287
0,1,2,0,0,0,-1,2,1,0,-1,-2,4.124259872794621,8999
-1,2,2,-2,0,2,-1,2,1,-2,1,-2,5.572535584231876,9763
2,1,2,0,-2,0,2,2,-2,0,-1,-1,5.183635586365643,10566
1,-1,-1,0,1,2,-1,-1,2,0,-2,2,4.744638830078376,10590
2,2,2,-2,-1,0,0,2,0,0,-1,-1,4.837203764515088,11326
0,1,2,2,-1,-2,0,1,2,-1,-1,-2,5.014888538300049,12106
0,2,0,-2,0,2,-2,2,0,0,-1,-1,4.744638830078376,12916
0,1,2,-2,-1,1,-2,-1,-1,1,-2,-2,5.100312424022249,13640
0,2,2,0,-1,0,-1,2,1,0,-2,-2,4.837203764515088,14354
-1,-1,-1,1,0,-1,-2,2,1,0,1,-2,4.449836924951551,15130
-1,1,2,-2,0,-2,0,2,1,0,2,-2,5.183635586365643,15865
0,-2,2,1,0,0,-2,0,1,0,-1,1,4.124259872794621,16634
1,-2,2,0,0,2,-1,0,-2,0,-1,0,4.449836924951551,17383
-1,1,2,0,1,1,-2,0,-2,0,-1,-2,4.649360376514142,18207
0,1,-2,1,0,0,0,1,-2,2,-1,1,4.236696754403045,19114
-1,2,0,1,0,0,-2,0,-2,0,-1,1,4.124259872794621,19855
-2,-2,-2,1,0,0,0,0,-2,0,-1,1,4.449836924951551,20600
0,-2,2,1,-1,0,0,0,0,0,1,1,3.6253849384403627,21364
0,-2,2,1,-1,1,0,0,0,0,1,1,3.7585653133203754,22085
0,-2,1,1,-2,2,-2,-1,1,0,0,2,4.927233671124704,22842
-2,2,0,2,-1,1,-2,2,-2,1,1,1,5.344442157239921,23610
-2,1,-2,-2,1,1,2,1,1,1,-1,1,4.927233671124704,23641
0,-2,-1,2,-1,0,0,-1,1,0,2,1,4.236696754403045,24423
2,-2,2,1,0,1,1,-1,-1,0,1,2,4.744638830078376,25174
