x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,value,Timestamp
1,1,1,0,0,0,-2,2,2,-2,2,-1,0,-1,0,4.55116827767262,7
1,-2,-2,-1,0,2,0,2,0,2,0,-1,-1,-2,2,5.066401964042267,12
-1,2,1,-2,1,-1,1,2,2,-2,1,-2,2,0,1,5.26497626139572,17
-1,-2,1,2,-2,2,2,0,-1,-1,2,2,-2,2,-1,5.630953279073676,22
0,-1,-2,2,0,1,1,0,-2,-1,0,-2,0,0,1,4.21454285630703,27
1,1,1,0,-2,-1,-1,-1,1,2,-1,-1,2,-2,2,4.855407179766363,31
-1,-2,-1,2,1,1,-1,0,-2,-1,1,-1,2,-1,0,4.55116827767262,36
-1,-1,1,-2,2,-2,0,-1,-2,2,-2,-1,2,-1,-2,5.452730638548356,40
-1,2,-1,1,1,-1,0,0,1,-1,1,-2,-1,2,0,4.21454285630703,44
2,-2,2,-1,-2,2,0,1,0,1,-2,-2,1,1,-1,5.200058730719189,48
-1,-2,-2,0,-1,0,1,0,0,1,2,-1,2,2,0,4.55116827767262,52
0,0,2,2,1,1,-2,-2,1,0,-2,2,1,2,-2,5.328694110864067,57
2,1,1,1,-1,1,1,0,-2,-1,1,1,-1,-1,-2,4.387426259560009,61
-1,1,0,-2,1,-1,2,1,2,2,0,2,0,0,-1,4.629961873718873,66
0,-1,2,2,-1,-2,0,2,2,-2,0,1,-2,2,2,5.513140985892029,70
2,-2,0,1,0,1,0,2,1,1,2,1,-2,0,2,4.855407179766363,74
-2,-1,-1,1,-2,2,0,-2,-1,-1,0,-2,2,-2,-1,5.200058730719189,943
-2,2,-2,2,0,0,-1,0,1,-2,-1,-2,-2,2,2,5.513140985892029,1777
-2,0,-2,1,0,1,2,0,-2,-1,-1,2,0,-1,-2,4.855407179766363,2575
-1,0,1,1,0,1,0,0,-1,-2,0,-2,0,1,-1,3.6253849384403627,3401
-1,1,0,1,0,1,2,0,-1,-2,0,2,2,2,-1,4.629961873718873,4228
-1,-2,-2,1,1,-2,0,1,2,0,1,-2,0,1,0,4.629961873718873,5044
1,0,1,1,2,-2,-2,0,0,-2,0,-2,-1,1,1,4.629961873718873,5902
-1,-1,1,1,-1,1,-1,-1,-1,2,0,-2,-1,-1,-1,4.124259872794621,6748
-2,1,2,1,0,-1,1,-1,-1,0,0,-2,0,0,-1,4.031153985980225,7580
-2,0,2,2,0,-2,-2,0,-2,-2,0,-2,-1,-2,-1,5.452730638548356,8406
-1,0,1,2,0,1,0,0,-1,-2,0,-2,0,1,-1,3.9349958554848574,9306
-1,0,1,-1,2,0,1,-2,-1,-2,0,-2,0,2,2,4.855407179766363,10130
-1,0,1,2,0,2,0,0,-1,-2,0,-2,0,1,-1,4.21454285630703,10948
0,1,2,0,-2,0,1,0,-1,-2,0,-2,0,1,-2,4.470366137487645,11790
-2,0,1,1,-1,-1,-2,0,-2,0,2,-2,0,1,-1,4.629961873718873,12636
-1,0,1,2,0,1,0,0,-1,-2,0,-2,1,1,-1,4.031153985980225,13477
-2,0,1,2,0,2,-1,1,-2,-2,0,-2,0,2,-1,5.066401964042267,14312
