x1,x2,x3,x4,x5,x6,x7,x8,value,Timestamp
0,1,2,2,-1,-1,1,0,4.34511045350505,19
-1,2,1,2,2,1,-2,1,5.422131717799509,24
-1,0,-2,1,2,-1,1,-2,4.927233671124704,30
-1,0,-2,-1,0,-2,-2,-1,4.791248864181821,34
-2,0,2,-2,2,1,1,-2,5.645409385190774,40
-1,-2,0,1,1,2,1,1,4.500910227060881,46
0,0,-1,-1,0,0,0,0,1.903251639280811,50
1,-1,-1,-2,0,-2,-2,2,5.304937200273958,55
2,1,2,2,1,1,-1,1,5.057870911647608,61
0,-2,-2,0,0,0,-1,2,4.500910227060881,647
0,0,-1,-1,-1,0,1,2,3.6253849384403627,1226
1,0,0,0,-1,0,1,-1,2.6375310921083046,1847
0,2,-1,0,-1,0,1,-1,3.6253849384403627,2464
2,0,1,2,0,0,0,2,4.500910227060881,3195
0,0,-2,-2,0,2,0,1,4.500910227060881,3830
-2,0,1,-1,-2,0,0,0,4.007410226459292,4397
1,0,-1,2,-1,0,-2,-1,4.34511045350505,4421
0,0,0,0,0,0,1,-2,2.9249490295340626,5005
-1,2,1,2,1,0,1,-2,4.927233671124704,5034
0,-2,-1,-1,0,1,1,-1,3.8228421303056384,5702
1,0,-2,-1,1,0,0,0,3.4124999244112932,6375
0,0,0,-1,2,0,1,0,3.180697372139058,7048
0,-1,-1,-2,-2,0,0,0,4.007410226459292,7628
1,0,-1,-1,-1,-2,0,0,3.6253849384403627,8241
0,1,-1,-1,0,0,0,0,2.305430467798914,8833
0,0,-1,-1,0,1,0,0,2.305430467798914,9408
0,0,-1,1,0,0,0,0,1.903251639280811,9984
0,0,-1,2,0,-2,0,0,3.8228421303056384,10567
0,1,-1,1,0,2,0,0,3.4124999244112932,11167
1,0,-1,1,0,0,0,0,2.305430467798914,11737
0,0,-1,-2,0,0,-1,-2,4.007410226459292,12314
0,0,-1,2,0,0,0,0,2.9249490295340626,12940
0,0,0,0,-1,0,0,-1,1.903251639280811,13539
0,0,2,0,-1,1,0,0,3.180697372139058,14143
0,1,1,1,0,1,2,-1,3.8228421303056384,14176
0,0,0,1,-1,0,0,-1,2.305430467798914,14820
0,0,0,0,-2,0,0,0,2.6375310921083046,15652
0,0,0,0,1,0,0,-2,2.9249490295340626,16275
0,0,-2,-1,0,0,0,-1,3.180697372139058,16890
0,-1,-1,1,-1,0,0,-1,2.9249490295340626,17492
2,0,-1,-1,0,0,0,0,3.180697372139058,18082
0,0,-1,0,-1,-1,0,0,2.305430467798914,18674
0,0,1,1,2,0,0,-1,3.4124999244112932,19277
1,0,0,0,-1,0,0,-1,2.305430467798914,19872
0,1,-1,1,0,0,0,0,2.305430467798914,20460
0,0,-1,-1,0,0,-1,0,2.305430467798914,21054
1,0,0,-1,0,0,-1,-1,2.6375310921083046,21638
0,0,-1,1,0,-1,-2,0,3.4124999244112932,22208
0,0,1,0,0,0,0,-2,2.9249490295340626,22800
0,0,-1,0,-1,0,-1,-1,2.6375310921083046,23377
0,0,0,1,0,1,0,-1,2.305430467798914,23965
0,-1,0,1,0,-1,0,0,2.305430467798914,24551
0,0,0,-1,0,0,0,-2,2.9249490295340626,25149
0,0,0,0,-2,0,0,-1,2.9249490295340626,25730
0,0,-1,-1,1,1,0,0,2.6375310921083046,26302
0,2,0,0,-1,0,0,-1,3.180697372139058,26941
0,-2,-1,0,0,0,0,0,2.9249490295340626,27576
0,1,-1,1,1,0,0,0,2.6375310921083046,28177
0,0,0,0,0,0,0,0,4.440892098500626e-16,28787
0,0,0,0,0,1,0,0,1.365371531532109,29385
0,0,-2,2,1,-2,0,-1,4.649360376514142,29422
0,1,0,0,0,-1,-1,0,2.305430467798914,29998
0,1,0,0,0,0,0,0,1.365371531532109,30589
0,2,0,1,0,1,0,0,3.180697372139058,31189
0,-2,0,0,0,1,0,0,2.9249490295340626,31805
0,0,0,0,0,-1,0,0,1.365371531532109,32444
1,0,0,0,0,0,0,0,1.365371531532109,33098
1,0,0,0,2,0,0,0,2.9249490295340626,33696
2,0,0,0,0,0,0,0,2.6375310921083046,34298
0,0,0,0,0,2,0,0,2.6375310921083046,34921
0,2,0,0,0,0,0,0,2.6375310921083046,35537
0,0,0,0,0,-1,2,0,2.9249490295340626,36182
-1,0,0,0,0,0,0,0,1.365371531532109,36787
0,0,0,-1,0,0,0,0,1.365371531532109,37387
-1,1,0,0,0,0,0,0,1.903251639280811,38029
1,1,1,-2,1,2,0,0,4.34511045350505,38102
0,0,0,2,0,0,0,0,2.6375310921083046,38736
1,0,0,0,0,1,0,0,1.903251639280811,39367
0,0,0,0,0,0,0,1,1.365371531532109,40063
0,0,0,0,0,0,0,2,2.6375310921083046,40727
-2,0,0,0,0,0,-2,0,3.6253849384403627,41596
0,0,0,0,1,0,0,1,1.903251639280811,42227
0,-1,0,-2,2,-1,1,-2,4.791248864181821,42281
0,-1,0,0,0,0,0,1,1.903251639280811,42908
-1,0,0,0,0,-2,0,1,3.180697372139058,43547
0,0,0,0,1,-1,0,0,1.903251639280811,44190
-2,0,0,0,0,-1,0,1,3.180697372139058,44905
0,0,1,0,0,0,0,0,1.365371531532109,45617
-1,0,1,0,1,0,0,0,2.305430467798914,46224
