x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,value,Timestamp
1,1,-1,0,0,1,-2,0,1,1,0,2,0.830525529437523,6
2,-2,-2,2,0,-1,-1,-1,1,0,2,1,1.0147118878009105,11
-2,2,0,-2,0,2,-2,2,0,2,0,0,1.0177130878883685,16
-2,2,2,-1,-2,-1,-2,1,2,1,0,0,1.0137430447286402,20
-2,-2,2,-1,0,-2,0,0,1,0,2,2,1.0167797053138716,24
-2,2,-2,1,1,-2,-1,-2,-2,0,-2,-2,1.0141967051930536,29
-1,2,-2,-1,-1,2,-2,0,-1,0,-1,-2,0.9960980811339815,33
0,-2,1,-1,0,0,-1,-1,2,1,2,2,0.9537107436286401,37
-2,-1,-1,2,1,0,-1,-2,-1,-2,-1,2,1.062148027930711,41
-2,-1,0,1,1,2,2,2,-2,1,-2,1,1.063173715641511,46
-2,-2,2,2,0,-1,1,-2,0,0,-1,-1,1.0144131818637792,50
-2,1,-1,2,2,-2,1,0,0,-1,2,-2,1.044427253609312,54
2,-2,0,2,-1,2,1,0,2,-1,1,2,1.019024797438051,58
-2,2,2,-1,0,-1,-2,1,-1,1,2,0,1.0169180957982227,732
1,-1,0,2,0,0,-1,0,1,1,-2,1,0.8572350438198626,1343
1,2,-1,-2,0,2,-2,-2,-2,1,1,2,0.9993646214062015,2043
1,1,-1,0,0,1,-2,0,2,1,0,2,0.8603932524679164,2731
-2,2,-1,0,0,2,0,-2,1,1,-2,2,1.0242956532980019,2809
1,2,0,-1,2,1,0,2,1,2,-2,2,0.9900121124803397,3479
1,0,0,-2,-2,2,-2,0,-2,2,2,-1,0.96193080271111,4259
1,0,2,-2,-2,0,-2,0,1,-1,2,2,0.9734396628626607,4940
1,2,-2,-1,0,-2,0,0,1,1,-2,2,0.9933151803039227,5631
1,2,0,0,0,1,-2,-2,-2,-2,-1,0,0.97985670127758,5686
1,-1,1,0,2,1,2,0,1,1,0,-2,0.8962239275064806,6426
1,-1,0,2,0,1,-1,0,1,1,-2,2,0.8871595690116291,7030
1,-1,-1,-1,-2,2,0,-2,2,-2,2,-2,0.9649408781508519,7081
1,1,-1,0,2,1,1,0,1,1,1,0,0.8453897172236665,7747
1,0,-1,1,-1,0,-2,0,1,2,0,2,0.8377807181185908,8446
1,2,-2,0,-1,1,-2,0,1,2,1,-1,0.9911925564012347,9113
1,0,0,1,2,-2,-2,0,1,2,-2,-2,0.9289597266323195,9796
1,-2,-1,2,-2,1,1,0,1,0,-2,2,0.9929669578316378,10496
1,1,-1,-2,-2,1,0,2,0,-2,0,2,0.9511052948520533,11173
0,1,2,1,-2,0,1,-1,0,-2,-1,1,0.895830116499062,11259
1,2,-1,-2,2,2,-2,0,0,0,0,1,0.9943448474250834,12004
-2,0,-2,2,-2,-2,0,1,2,-1,2,2,1.0273384564191221,12076
1,1,-2,0,1,1,-2,-1,0,1,0,2,0.9298083469262821,12835
1,1,-1,1,-1,0,-2,2,1,2,1,2,0.9138757991372678,13670
1,0,-1,0,0,-2,0,0,1,2,-1,1,0.7869562296143968,14277
1,0,-1,0,1,-2,1,0,1,2,0,1,0.8136796095272811,15117
1,0,2,2,0,2,-1,2,1,0,0,0,0.9508003909979357,15871
1,0,0,-2,0,2,2,-1,1,2,-1,1,0.9100433278016035,16647
1,0,0,1,1,1,0,0,1,2,-2,1,0.767366594700582,17495
1,0,-1,1,-2,-1,2,0,0,2,-2,1,0.8994789311379983,18340
0,-2,-1,0,0,0,-2,2,1,-1,-1,-1,0.9448264766092118,18488
-2,-2,-2,2,0,2,2,-2,0,1,2,-1,1.0125285300829228,18618
1,0,0,1,2,2,-1,0,1,2,-1,1,0.8727061598446478,19394
1,0,-1,1,0,-2,0,0,1,2,-1,2,0.8383360211183826,20334
1,0,0,1,1,1,1,0,1,2,-2,0,0.7745603341558155,21203
1,0,2,1,1,2,2,0,2,2,-2,2,0.9700837892165286,22101
