x1,x2,x3,x4,x5,x6,x7,x8,value,Timestamp
2,2,2,0,0,1,-1,-1,1.0247414047922816,5
2,-2,-2,1,-1,-1,2,0,1.0186112075737654,10
1,-1,-2,-1,0,1,-2,0,0.9056947817099213,16
-1,1,-1,2,2,0,-1,-1,0.9017518200877559,20
1,2,-2,0,-1,-2,1,-2,0.9898924240020998,24
1,1,1,-2,0,-1,0,-1,0.8421271805221572,30
-1,1,-1,0,-2,1,0,1,0.8167401852028442,35
0,-2,-2,-1,2,-1,1,-1,0.9762902010279272,39
-2,-1,-2,2,2,-1,1,0,1.0416429020840081,44
-2,1,-1,0,-2,1,0,0,1.155051842130811,582
-1,-2,-1,1,-2,-1,0,1,0.9698559299265195,1159
-1,-2,0,-1,0,1,-2,1,0.956673028435397,1249
-1,2,-1,0,-2,1,0,1,0.9649476599426184,1713
1,-2,-1,1,0,2,-2,1,0.9750381731369808,2291
-1,-2,-2,-1,-2,1,2,0,0.9922560117607627,2768
-1,-2,-2,1,2,1,-2,1,0.9932787857353534,3214
-1,1,0,1,-2,1,0,1,0.8079572675852511,3723
-1,1,2,2,-1,1,0,1,0.9336059851119598,4238
-1,1,2,-2,-2,1,0,1,0.9556503202456507,4747
2,-2,1,-2,0,1,0,1,1.029047492893425,4876
-1,1,-1,2,-1,1,1,1,0.8685647240662346,5371
-1,1,2,2,-1,1,1,1,0.9387716177898503,5883
2,-2,2,0,-2,2,-2,0,1.014181192388687,5927
-1,1,0,-1,-2,1,-2,1,0.8618758789807752,6432
-1,1,-1,2,-2,1,1,1,0.9103431777005335,6947
-1,1,-1,0,2,1,0,1,0.8167401852028442,7472
-1,1,-1,1,-2,1,-2,1,0.8850409518680084,7974
-1,1,0,0,1,0,2,1,0.749177501256951,8535
-1,1,0,0,2,0,2,1,0.8272304400123695,9030
-2,1,1,1,-1,-1,-2,2,1.1107501067780448,9093
-1,1,0,0,0,0,2,1,0.7213519188446598,9684
-1,1,0,1,0,0,2,1,0.7559275335905519,10197
-1,1,-1,0,0,-2,2,1,0.842112060143497,10819
-1,1,0,0,0,1,2,1,0.7446456884065924,11369
2,1,1,1,0,1,-1,1,1.1886766116820973,11876
-1,1,-1,-1,0,0,0,1,0.7178838423690725,12387
-1,1,-1,-1,0,1,2,1,0.8132579018883173,12930
-2,-1,-2,1,-1,1,2,0,1.0715750833193594,13025
-1,1,0,-1,0,0,0,1,0.6628186445578197,13586
-1,1,0,-1,0,0,1,1,0.6869382523703116,14124
-1,1,0,0,0,0,0,2,0.6892204781322655,14669
-1,1,0,-2,0,-2,0,2,0.8879605065253439,15263
-1,1,0,0,0,0,0,0,0.5897380911762422,15820
-1,1,0,0,0,0,0,-1,0.6153943991392508,16379
-1,0,1,0,0,0,0,-1,0.5760261452409103,16932
-1,0,1,0,0,0,0,0,0.5477743073822078,17488
-1,0,1,0,0,-1,0,0,0.5852303627605653,18029
-1,0,0,0,0,0,0,0,0.4599476941318603,18569
-1,0,0,0,1,0,0,0,0.5133334028415206,19095
-1,0,0,0,0,1,0,0,0.5046010002418924,19627
-1,0,0,0,0,0,1,0,0.4983334574840257,20129
-1,0,0,1,0,0,0,0,0.526340118220962,20641
0,0,1,-1,0,1,-1,-1,0.4127788420156272,21138
0,0,0,0,0,0,-1,0,0.07083227021794813,21647
0,0,0,1,0,-1,-2,1,0.45191893915891457,22181
0,0,0,0,0,0,0,0,0.0,22696
0,0,0,0,-1,0,1,0,0.16248530371035985,23222
0,0,0,0,1,0,0,0,0.09859440484995474,23750
2,0,1,-2,-2,0,2,-1,1.0850039328671919,23828
0,0,0,0,0,0,0,1,0.06210166496027136,24360
0,0,0,0,0,1,0,0,0.08243233686544527,24908
0,0,0,1,0,0,0,0,0.12266743810962732,25418
0,0,-1,0,0,0,0,0,0.16233817230500702,25972
0,0,0,-1,0,0,0,0,0.12266743810962732,26485
0,0,0,0,0,-1,0,0,0.08243233686544527,27006
0,1,0,0,0,0,1,0,0.2939151925068969,27533
0,-1,1,0,0,0,1,0,0.40869423253193926,28052
0,1,-1,-1,-2,-1,-1,-2,0.7763101105616674,28577
0,0,0,0,0,0,1,0,0.07083227021794813,29100
2,-2,2,2,2,-2,2,-2,1.0113605222020314,29637
0,0,1,0,0,0,0,0,0.16233817230500702,30140
2,1,-2,2,-1,2,0,2,1.0379316562128995,30254
2,2,-2,-2,2,2,2,2,1.0113605222020314,30902
-2,-2,2,2,2,2,2,-2,1.0113605222020314,31557
0,-1,2,0,2,1,-1,0,0.838668581973384,31690
1,2,2,2,2,-2,2,-2,1.0028868816599834,32349
0,-2,2,-2,-2,-2,-2,-2,0.9989246719981955,32989
1,0,-2,2,2,2,2,-2,0.9782711942741189,33608
0,0,0,0,0,0,0,-1,0.06210166496027136,34181
-2,-2,2,-2,2,-2,2,2,1.0113605222020314,34830
1,-2,2,2,-2,-2,2,2,1.0028868816599834,35463
2,2,-2,-2,-2,-2,-2,2,1.0113605222020314,36075
-2,-2,2,2,-2,-2,-2,-2,1.0113605222020314,36689
0,2,2,-2,2,2,-2,2,0.9989246719981955,37299
-1,-2,1,1,-1,-1,-2,0,0.9659420486640646,37400
0,2,-2,-2,2,2,-2,-2,0.9989246719981955,38029
-2,-2,-2,-2,2,-2,-2,-2,1.0113605222020314,38657
2,0,2,1,2,0,1,-1,1.0843167308436799,38760
-2,2,2,-2,2,-2,-2,-2,1.0113605222020314,39350
