x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,value,Timestamp
0,2,2,1,-1,2,-1,2,1,2,-2,2,0.9953063757744003,7
2,-2,2,0,-2,2,-1,-2,-2,0,-1,-1,1.0134651536438188,12
1,2,0,-2,-1,0,2,-1,2,-1,-2,0,0.9887626597479924,17
-1,2,2,-1,0,-1,1,2,1,1,0,0,0.9870928779652852,21
1,-1,-1,-1,1,0,-1,1,-2,-2,2,0,0.8807744522656924,25
1,-2,-2,0,2,-2,2,-1,0,1,2,2,1.0012138855267487,29
2,0,2,-1,1,-2,-1,-2,-2,-1,2,0,1.0466169592627343,33
-2,2,-2,2,2,1,1,-2,0,2,0,0,1.0121404193787416,37
2,-1,2,-2,-1,1,-2,0,-2,2,-2,0,1.0294706013777868,41
0,0,-2,-2,1,0,1,-2,0,0,2,0,0.889906605094219,46
2,2,0,1,2,1,2,-1,-2,2,-2,2,1.0185207727381556,50
-2,-2,-2,1,1,2,2,0,2,1,2,1,1.014098813649274,54
-1,1,0,-2,0,2,0,1,2,-1,-2,2,0.9325062874249102,58
2,-1,1,0,-1,0,-1,-1,-2,-2,-2,1,1.109805009225172,795
-2,0,-2,-1,-1,2,0,1,-2,-2,-2,-2,1.045154155977989,1513
0,0,1,-2,2,0,2,1,-2,-1,2,2,0.9070323448724954,2256
-1,-1,2,-1,1,0,-1,1,-1,-2,0,0,0.9164431900832494,2982
0,-2,-1,-2,0,0,0,-2,-1,0,-2,1,0.9647052817863819,3756
-2,1,1,-1,1,0,0,1,2,-2,1,0,1.1236126989568125,4564
-1,-1,1,-2,2,0,0,2,2,-2,2,-2,0.9690363720471525,5303
1,1,-2,-2,2,1,1,-1,-1,-2,1,0,0.9730448644700012,6025
0,0,0,2,1,1,-2,0,-2,-2,2,-2,0.8641747299844478,6835
0,0,0,1,0,2,-1,-2,-2,-2,2,0,0.783813711592003,7526
-2,0,1,1,-2,-2,-1,-2,-2,-2,2,2,1.0492945566358953,8229
1,0,1,-2,-2,2,-2,1,-2,-1,2,2,0.9711057224149582,9054
0,2,0,1,-2,1,0,1,-2,-2,2,0,0.9672402559801963,9897
2,0,0,1,0,2,-1,-2,-2,-2,2,0,1.0987540476268653,10710
1,0,0,1,0,2,-1,-2,-2,-2,2,0,0.8859723871938097,11464
0,0,1,0,0,1,-1,0,-2,-2,2,-2,0.6920697681076708,12282
0,0,1,1,-1,2,-1,0,-2,-1,2,-2,0.7877347900705637,13042
1,1,2,2,0,0,-2,-1,-2,0,0,1,0.9588674293463716,13067
0,0,2,0,0,1,-1,0,-2,-2,2,-2,0.8546691028047284,13813
2,-2,-2,1,2,1,-2,-2,1,-1,1,1,1.0135143647894873,13839
0,0,0,0,-2,2,-2,0,-2,-1,1,-2,0.819103075638133,14570
2,2,1,1,0,-2,-1,0,1,-2,-2,-2,1.0229752742224067,15333
0,-1,1,-2,0,2,-1,-2,-2,0,2,-1,0.902666752791175,16111
-2,0,1,0,0,1,-1,0,-2,2,2,-2,1.1358708893528195,16911
-1,-1,2,1,2,2,0,0,-2,-2,2,-2,0.9804286776591806,17632
