x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,value,Timestamp
1,0,0,-2,0,-2,-2,0,1,1,2,-1,-1,1,0,0.9098206002926855,8
0,0,-1,-2,0,-2,0,-1,-2,2,2,-1,2,0,-1,0.8873675361679233,13
-2,2,-2,-2,1,0,-2,1,1,-2,-2,2,2,-1,-2,1.014271317880953,17
-2,2,2,-2,0,0,-1,0,0,1,1,2,2,2,1,1.0150840292145826,21
-2,1,0,-1,1,-2,-1,-2,0,2,1,-1,0,-1,0,1.092006332449468,25
1,-1,0,2,0,-1,-2,2,1,-2,-1,-2,1,-2,2,0.9590443742887471,30
0,-2,-1,0,-1,-2,0,-2,2,2,2,-1,-1,1,-1,0.9799683169216393,34
-2,0,2,-2,-2,-1,1,2,1,-2,1,0,1,1,0,1.0324076741271075,38
-1,0,-2,0,1,-1,-1,1,0,1,1,1,-1,2,2,0.9065825274919108,42
0,-2,1,1,-1,2,-1,1,-2,-2,1,0,2,-1,0,0.9761136499533117,46
2,2,-1,-1,-2,-2,2,-2,1,1,2,1,-2,1,1,1.0161103370892164,50
-2,1,-2,1,1,-2,-2,0,-1,0,2,-1,-1,0,2,1.03896068727178,55
0,-1,2,0,0,-2,-2,0,2,0,1,1,2,-1,-1,0.918937754232533,60
1,2,-1,-1,1,-1,-2,0,-2,-2,0,-1,1,0,1,0.9849189106234401,64
1,-2,0,2,1,-1,0,-1,-1,-2,1,-1,0,0,-2,0.9843067780026572,69
1,0,-2,-2,-1,-2,-1,0,2,1,-2,1,1,2,-2,0.9797611042937829,73
-1,1,2,-2,1,-2,-1,2,0,2,-2,-1,-1,1,2,0.9886454661305902,955
-1,0,-1,-1,1,2,0,-2,-1,2,1,-2,2,0,2,0.9234288487629613,1835
0,0,-2,-2,0,-2,2,-2,-2,0,1,-1,-1,-1,2,0.9599932358389237,2633
0,0,0,-2,2,2,-2,-2,-2,1,2,2,2,-2,2,0.9692419409048889,3492
-1,0,0,1,0,-2,1,1,1,2,2,-1,-2,2,1,0.8862579586055856,4364
2,-1,-1,1,2,2,2,1,-2,1,1,1,-2,-1,2,1.0421830840995014,4387
-2,0,1,1,0,-2,2,1,-2,2,2,-2,-1,1,-2,1.059728082060228,5187
0,2,2,0,0,2,0,-1,-1,0,2,-2,-2,1,-1,0.9860671994300448,6040
-1,1,1,2,1,-2,1,-1,0,2,1,2,1,0,2,0.9529625012114982,6960
-1,0,0,1,0,-2,2,1,1,2,2,-1,-2,2,1,0.9131676244771951,7802
-1,0,2,-1,2,-2,-1,0,-1,2,2,-2,-2,-1,1,0.9766638281819474,8702
0,-1,2,0,-1,1,1,0,2,-1,-1,0,-2,-1,-2,0.8855658292269817,8728
-1,1,0,1,1,1,2,0,-1,-1,1,1,-1,1,0,0.8382137490874599,8751
-1,1,0,1,1,1,2,0,-1,-1,2,1,-1,2,0,0.8778628575350313,9630
-1,1,1,-2,1,1,2,1,2,-2,-2,2,-1,-1,0,0.9653694466131253,10501
-1,1,-1,2,-2,1,2,2,-1,2,0,2,1,1,-1,0.9741472038075543,11387
2,2,0,-1,0,2,1,1,-1,0,-2,1,1,0,1,1.0293418178040363,11411
0,-2,2,1,-1,-1,0,1,2,2,1,-1,0,1,-1,0.9827629725355369,11435
-1,1,0,1,2,1,2,0,-1,-1,1,1,-1,1,0,0.8895780683419305,12275
-1,1,0,2,2,0,1,-1,2,1,1,1,-1,1,0,0.928423212732421,13115
-1,2,0,1,2,2,1,2,-1,-1,-1,0,-2,-1,0,0.9910034380627054,14024
-1,1,0,1,-2,2,1,-2,-2,-1,1,2,-1,1,0,0.9464733299470648,14965
-1,-1,2,1,2,-2,2,0,0,-1,-1,2,-2,1,0,0.9791668511158007,15875
1,1,2,0,2,1,2,-2,2,-1,2,1,0,0,-1,0.9774141492441618,16812
-1,1,0,1,1,1,2,0,-1,-1,2,1,-1,1,0,0.8617191677685945,17699
-1,0,-1,2,2,-1,2,0,1,-1,2,-2,-1,1,1,0.9501560489495448,18564
-1,0,2,-2,-2,1,-1,2,-1,2,1,0,2,1,-2,0.9836448910468355,18593
-2,2,-2,-2,1,-1,-1,1,0,2,2,1,-2,1,1,1.013912407188269,18622
-1,1,0,1,1,1,2,1,-1,-1,2,1,-1,1,0,0.8708003999665201,19499
-1,1,-2,-2,1,1,-2,-2,-1,-1,1,0,-2,1,2,0.982891056613245,20423
-2,0,-2,2,2,-1,2,-1,0,-1,1,-1,-1,-1,2,1.0327636532573017,20453
-2,1,2,1,1,1,2,-2,-1,0,0,1,-1,1,0,1.0491696224095146,21322
-1,1,0,1,1,2,2,0,-1,-1,1,1,-1,1,0,0.8809943469997621,22172
0,1,0,1,1,1,2,0,-1,-1,1,1,-1,1,0,0.6971229049650978,23081
-1,0,-1,1,1,-1,2,2,2,1,-2,-1,-1,1,1,0.9102997488871444,23112
0,-1,-2,-1,-1,2,-1,2,-2,0,0,2,1,1,1,0.9372664621563083,23142
0,1,-1,1,-1,0,0,2,-2,-1,0,2,-1,0,0,0.773834113292632,23173
0,2,0,1,1,1,2,0,-1,-1,1,1,-1,1,0,0.9414049940966277,24020
0,1,0,1,2,1,2,0,-1,-1,1,1,-1,1,0,0.791550682580992,24925
0,2,0,0,-1,-1,-2,1,-1,-1,-2,0,-2,-2,1,0.960413871705571,24958
2,0,0,2,2,1,2,0,-1,-1,-2,2,1,0,-2,1.0567254616921096,25817
0,1,0,1,1,2,2,0,-1,-1,1,1,-1,1,1,0.7834910995092357,26668
2,1,1,1,1,1,2,0,-1,-1,1,1,-1,1,0,1.1115819639691131,27533
0,1,0,1,1,2,2,0,-1,-1,1,1,-1,1,2,0.8064706560487542,28394
0,1,0,2,1,1,2,0,-1,-1,1,1,-1,1,0,0.815622447333088,29212
1,1,0,1,1,1,2,0,-1,-1,1,1,-1,1,0,0.8382137490874599,30058
