x1,x2,x3,x4,x5,x6,x7,x8,value,Timestamp
-2,2,-1,-1,-2,1,1,0,1.0294811234255712,5
2,-2,-1,-2,2,-2,1,0,1.0172047226890808,9
2,2,2,0,-2,1,1,-1,1.0178898978105788,12
-1,-1,-2,1,0,-1,1,2,0.9087597354798544,15
-1,0,2,-1,-2,0,1,0,0.8912501064117029,18
-2,0,0,-2,-1,-2,-2,1,1.0992674308496362,22
1,-1,2,-1,-2,-1,1,-2,0.94510234255757,25
0,1,-2,1,-1,-2,0,1,0.8467961032418378,28
-1,-2,-2,0,-1,0,2,-2,0.987513643415345,32
-1,-1,0,-1,-1,-2,0,-2,0.8337914494751941,55
-1,-1,-2,1,2,-2,-1,2,0.9608702700128124,610
-1,1,-2,-2,-2,-1,0,1,0.9556503202456507,1161
-1,0,-2,-2,-2,-2,0,-1,0.9570502443061288,1702
0,-1,-2,-1,0,-2,0,0,0.8178370922922822,2252
1,2,-2,0,0,-2,0,0,0.9799292247738299,2804
0,-2,-2,-1,-1,-2,0,2,0.9785350092971328,3350
0,0,-2,-1,0,-2,-2,0,0.826508030940549,3900
-2,-1,-2,-1,1,-2,-2,-2,1.044079544077352,4458
0,-1,-2,2,2,2,-2,0,0.9534663866005981,5007
0,0,-2,-1,0,-2,-2,1,0.837689815995233,5565
-1,-1,1,-1,-1,-2,0,-2,0.8614681541681394,6120
0,-1,-2,0,0,2,0,0,0.7918277380649621,6679
0,-1,-2,-2,0,1,-1,1,0.8701329631635375,7245
0,2,-1,-1,0,2,-2,-1,0.9501469956291705,7806
0,1,0,0,-1,2,-2,0,0.6609474605362975,8374
0,1,1,-2,-1,2,-2,0,0.8491203900059294,8939
0,-1,0,0,-1,2,0,1,0.5613820849047928,9488
2,-2,0,1,-2,2,-1,2,1.0227491347241695,10055
0,2,0,0,2,2,2,1,0.9586197014415455,10627
0,-1,0,0,-1,2,-2,1,0.6823230537735364,11194
0,0,0,-1,-2,-2,-1,0,0.65287735457325,11218
0,0,0,0,-2,2,-1,2,0.700373964463894,11791
0,-2,0,0,-1,2,0,1,0.9121703876617754,12356
0,-1,0,0,-1,2,0,2,0.6456403055654162,12915
2,-1,0,0,-1,2,0,1,1.1860077147837311,13497
0,-1,0,1,-1,2,0,1,0.6155407968964259,14067
-2,-1,0,0,-1,2,0,1,1.1860077147837311,14642
0,-1,0,1,-2,2,0,1,0.7344544581904536,15214
-1,-1,0,0,-1,2,-1,1,0.7811119666416717,15794
0,-1,0,0,-1,2,1,1,0.5927142520833572,16366
0,0,0,0,-1,2,0,1,0.42225495598504237,16929
0,0,0,0,0,2,0,1,0.3588261664091209,17507
0,0,0,0,1,2,0,2,0.5328488417316134,18079
1,0,0,1,-2,2,0,1,0.8120736039408263,18645
0,0,0,0,1,2,2,1,0.5810212450584674,19224
-1,0,2,0,1,2,2,1,0.9117048903731357,19808
0,2,0,0,0,2,0,2,0.9218158412799098,20387
0,0,-1,0,1,2,2,2,0.7173090874041028,20976
0,0,0,-1,0,2,0,1,0.43772004629788186,21563
0,1,0,0,0,2,0,1,0.5131007514799205,22135
1,-1,0,-1,0,2,1,1,0.7870160649034119,22709
0,0,1,-1,0,2,0,1,0.5293521085756596,23297
0,0,0,-2,0,2,0,1,0.655146921366198,23864
0,0,0,0,0,2,0,0,0.31622147447644966,24447
0,0,0,1,0,2,1,0,0.44296670084506073,25025
1,0,1,2,0,2,0,0,0.834997190673369,25602
1,1,0,0,2,2,1,-1,0.8494770718407001,25636
0,0,0,0,0,-1,1,0,0.14746399117561393,26207
0,0,0,1,0,-1,0,-2,0.3891527967666042,26787
0,0,0,0,2,-1,0,-1,0.46251285451740276,27360
0,1,2,-1,1,-1,1,0,0.7948362309488097,27942
0,-2,0,2,0,-1,1,0,0.9306259686130909,28523
1,-2,2,1,-2,0,0,-1,0.9861989609760005,28558
0,0,0,2,0,0,1,0,0.4990834574840257,29132
0,0,0,0,0,-2,2,0,0.5037314289858448,29731
0,1,0,1,0,-1,0,0,0.38840279676660416,30317
0,1,0,0,-1,-1,0,-2,0.5234462585641175,30896
0,0,0,-1,0,-1,1,0,0.2521404739911567,31477
-1,-2,0,-1,1,2,1,2,0.9717412350943637,31514
0,1,0,-1,0,-1,1,0,0.4318736525324284,32101
0,0,1,0,0,-1,1,0,0.28598103875631653,32695
0,1,0,-1,1,-1,1,0,0.4880940444585552,33279
0,0,0,0,0,-1,2,0,0.33341408164674813,33858
0,0,2,0,0,-1,1,0,0.656709275433693,34444
0,0,0,2,0,-1,1,-2,0.6521053007198951,35017
1,1,-1,-1,2,1,2,2,0.9082546782012837,35056
-2,0,0,-1,0,-1,1,0,1.3132814860576358,35643
0,0,1,-1,0,-1,1,0,0.3737312238320475,36234
0,1,1,0,-2,2,2,2,0.8534506071083411,36273
0,0,0,0,0,-1,2,2,0.4945313513388987,36856
0,0,1,0,-1,-1,1,0,0.35652456685504674,37451
0,0,0,0,-1,0,1,0,0.16248530371035985,38051
0,1,0,-1,2,0,-1,1,0.6378550624983077,38092
2,1,2,1,0,-2,2,-2,1.0480101826945063,38132
0,0,0,1,-1,0,1,0,0.2653229159283551,38733
0,0,1,-1,-2,0,2,0,0.6675730059133056,39322
0,0,0,0,2,0,1,0,0.41946645032701224,39930
0,0,0,-2,-1,0,1,0,0.5487187272433187,40527
0,0,0,0,-1,0,2,0,0.34517416205101925,41118
