x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,value,Timestamp
1,1,2,1,2,2,0,2,1,1,-1,-1,23.0,7
0,2,1,1,1,-1,1,-1,1,-2,1,-1,17.0,12
-2,-2,-2,2,-1,2,-1,-1,1,2,1,1,30.0,16
2,1,-2,0,2,-1,0,-1,0,-2,-1,2,24.0,20
2,-1,0,0,1,0,1,-2,1,-2,1,-2,21.0,24
2,-2,1,0,1,2,1,0,-2,-2,0,2,27.0,29
0,0,-2,-1,2,1,-1,2,-2,1,2,0,24.0,33
-1,2,2,-1,1,0,-2,1,-1,-1,1,-1,20.0,37
-1,0,1,-1,2,0,-1,-2,0,-2,2,-2,24.0,42
-2,1,1,2,-1,0,2,1,0,-1,2,0,21.0,46
0,0,0,2,-2,0,-1,2,1,-1,-2,2,23.0,50
1,-1,2,1,-2,2,0,-2,-2,-1,0,-2,28.0,54
-1,0,-2,1,2,2,0,0,2,-1,-1,-1,21.0,59
0,2,2,-2,2,-1,2,0,1,-2,1,0,27.0,802
-1,1,2,2,-2,2,1,1,0,1,-2,0,25.0,888
0,2,2,1,2,0,2,2,1,-2,1,-2,31.0,1662
0,2,1,1,0,-2,1,-2,0,-1,1,0,17.0,2590
-2,2,1,2,0,-1,2,2,0,-1,2,-2,31.0,3865
2,2,0,-2,2,2,1,-2,2,2,-2,-1,38.0,5489
2,-2,2,0,-1,-2,-1,-2,-1,-2,0,-1,28.0,5650
-1,2,1,2,1,-1,1,1,2,-2,1,0,23.0,6408
-2,2,-2,1,-1,1,1,-2,2,2,1,-1,30.0,7102
0,2,1,1,2,-1,1,-2,1,-2,1,0,22.0,7857
-1,2,1,0,1,-1,1,-2,-2,-1,2,-1,23.0,8536
1,2,-1,0,-2,-2,1,0,1,-1,-1,0,18.0,9198
1,1,-2,2,1,0,0,0,1,-1,-2,0,17.0,9244
-2,2,2,2,-1,-1,1,-1,1,-1,1,0,23.0,10020
0,2,1,2,1,-2,1,-2,1,-1,1,1,23.0,10728
-1,2,0,0,-1,-2,2,-2,2,-1,1,0,24.0,11396
0,2,0,2,2,-1,0,-1,0,-1,-2,0,19.0,12279
2,-2,2,2,2,2,0,2,-2,-1,-2,0,37.0,13055
2,2,1,2,2,-2,0,1,1,-2,2,-1,32.0,13931
0,0,-2,2,2,2,-2,0,0,-1,0,0,21.0,14685
2,-1,-2,2,2,2,-2,0,1,-1,-2,0,31.0,15497
0,-2,2,0,1,-2,-1,-2,-2,1,1,-1,25.0,15646
0,-2,-1,2,0,-2,1,-2,-1,0,2,0,23.0,16400
1,-2,2,2,2,2,-2,-1,-2,-1,-1,0,32.0,17142
1,2,1,1,0,-2,2,-2,0,-1,2,0,24.0,17913
0,2,-2,2,0,0,-1,0,0,0,-1,0,14.0,18616
0,2,0,2,0,-2,-2,2,0,-2,0,-1,25.0,19403
1,2,-2,2,-1,2,-1,2,2,-1,-1,0,29.0,20215
0,2,-1,2,-2,-1,0,0,2,0,0,2,22.0,20977
0,2,1,-1,0,0,-1,-1,2,-1,1,-1,15.0,21722
0,2,-2,2,1,2,0,-1,1,-1,-1,-1,22.0,22458
0,2,-2,0,0,-1,-2,0,1,-1,2,0,19.0,23228
0,2,-1,-1,0,-1,-1,-1,2,-1,-2,-1,19.0,23966
0,2,-2,2,2,-2,2,0,2,1,-1,0,30.0,24781
0,2,2,2,0,0,0,-2,-1,1,2,0,22.0,25502
0,2,-2,2,0,-1,0,-1,0,-2,0,-1,19.0,26249
0,1,-2,1,-1,1,-1,-1,-1,-2,-1,2,20.0,27056
0,2,2,-2,-1,0,0,-1,1,-1,2,0,20.0,27758
-1,2,-1,2,-2,-1,-2,-1,-1,0,-1,1,23.0,28461
0,1,-2,-2,1,-1,-1,0,0,-1,2,2,21.0,29210
-1,2,2,2,1,0,-2,-1,2,-2,-1,2,32.0,29950
0,1,1,2,-2,2,-1,-1,-1,-1,2,0,22.0,30729
0,2,-1,2,-1,-1,-1,-1,0,-2,1,0,18.0,31459
0,2,-1,2,0,-2,0,0,-2,-1,2,0,22.0,32183
0,2,0,-1,0,0,-1,0,0,-1,-2,0,11.0,32949
0,2,0,-1,-1,0,-2,1,-1,1,-2,0,17.0,33748
0,2,-1,2,0,0,0,2,2,1,0,0,18.0,34500
0,0,-1,2,0,0,-1,-1,-2,-2,2,0,19.0,35268
