x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,value,Timestamp
0,-2,-1,-2,-2,-1,0,2,2,1,2,-2,2,2,-1,40.0,7
-2,-1,-1,-1,0,-1,2,-1,-2,0,0,2,0,-1,2,26.0,12
-1,2,1,1,2,2,0,0,-2,0,-2,2,2,-2,0,35.0,16
1,2,0,2,-1,2,0,-1,-2,0,0,-2,0,-1,0,24.0,20
-1,-2,2,-1,2,2,2,0,-2,1,-2,0,0,0,2,35.0,24
-1,1,-1,-1,2,2,0,-2,-2,0,-1,1,0,1,2,27.0,29
-1,-1,2,1,-1,1,-1,1,0,1,1,1,-1,0,1,16.0,33
1,2,1,1,-2,2,2,-1,-2,2,-2,-2,1,-1,0,38.0,37
1,-2,-2,-2,0,-2,-1,-2,2,-1,1,-1,1,1,-2,35.0,41
-2,-2,0,0,-1,1,0,-1,-2,-2,1,2,0,1,2,29.0,45
2,-1,-1,1,1,1,-1,0,1,0,0,0,-1,2,1,17.0,49
1,1,-2,0,1,-1,2,2,-1,1,-2,0,1,-1,2,28.0,54
2,1,-2,1,1,0,-2,0,1,0,0,2,0,2,2,28.0,58
0,0,1,-1,1,2,-1,-1,2,2,-1,-2,-2,-1,1,28.0,62
-1,1,2,1,-2,0,2,1,0,-2,0,-1,-2,0,0,25.0,67
-1,-2,2,0,-1,2,1,0,-1,0,-2,-2,-1,1,0,26.0,71
-1,2,2,2,-2,1,-1,2,-2,2,2,0,-1,-1,0,37.0,1254
0,2,2,1,0,1,-1,2,-2,2,2,2,-1,1,1,34.0,2161
-2,-1,2,-1,-2,1,2,2,0,2,2,2,-1,0,2,40.0,3282
-2,-1,-1,1,-1,0,-1,0,-1,2,1,-1,-1,1,-1,19.0,4152
0,-1,1,-2,-1,1,-1,-2,1,-2,-1,2,-1,1,2,29.0,5266
-1,-1,0,1,-1,0,-1,2,-1,-2,0,2,-1,2,2,27.0,6172
-2,-1,0,1,0,1,-1,2,-2,0,1,2,-1,1,1,24.0,6931
2,-1,-1,1,2,1,-1,0,2,0,0,0,-1,2,2,26.0,7977
2,-1,1,1,1,2,-1,0,0,1,0,-2,-1,2,-2,27.0,9050
-2,-1,-1,1,-1,0,-1,-1,0,2,2,1,-1,2,0,24.0,10193
-2,-1,-1,2,0,1,-1,2,1,1,1,0,-1,-1,1,22.0,11102
-2,-1,-2,1,2,1,-1,1,0,1,1,-2,-1,1,0,25.0,12154
0,-2,1,0,2,2,-2,0,2,0,-1,-1,-1,1,0,25.0,12219
-1,-1,-2,1,-1,1,-1,-1,0,2,1,2,-1,-2,2,29.0,13218
-1,-1,2,2,-1,1,-1,1,2,2,1,1,-1,0,1,26.0,14223
-2,-1,0,0,0,-2,-1,0,0,-1,2,-2,-1,2,1,25.0,15336
1,-2,1,1,-2,0,2,-1,-2,-2,-1,-2,2,1,1,35.0,15386
