x1,x2,x3,x4,x5,x6,x7,x8,value,Timestamp
2,0,-1,1,-2,2,0,0,14.0,5
1,-1,-2,2,1,-2,1,-1,17.0,9
1,2,2,-1,1,-2,0,0,15.0,14
1,-1,-1,2,2,-2,1,1,17.0,19
1,0,2,-2,1,-1,-2,2,19.0,23
-1,0,-1,2,-2,-2,1,-1,16.0,27
2,1,0,-1,0,2,-1,0,11.0,31
-1,-1,2,-2,2,0,2,0,18.0,36
-1,2,1,2,1,2,-2,-1,20.0,40
-2,-1,2,0,2,2,2,-2,25.0,497
2,-2,1,-2,-2,2,2,0,25.0,1024
1,-2,-2,2,2,-1,-1,0,19.0,1513
2,1,-2,2,-2,-1,-2,0,22.0,2084
-2,-2,-2,2,-1,2,-1,2,26.0,2607
1,0,2,-2,0,2,-1,2,18.0,3064
2,-2,1,-2,1,2,-2,-2,26.0,3534
-1,-2,1,1,-2,-2,-2,-1,20.0,3618
1,-1,-1,2,2,-2,2,-2,23.0,4108
-2,0,2,2,0,0,0,-1,13.0,4166
0,0,2,0,1,2,1,0,10.0,4760
-2,1,1,1,0,1,0,1,9.0,4871
-1,1,-2,1,0,1,2,0,12.0,4931
2,1,2,-2,1,2,-2,1,23.0,5531
0,1,0,-2,1,2,0,0,10.0,6076
-2,1,2,2,1,2,1,1,20.0,6634
-2,-2,0,-1,2,-2,2,0,21.0,6751
-2,1,2,0,-1,1,-2,1,16.0,6875
-2,1,2,2,-2,0,0,0,17.0,7412
-2,1,-1,2,0,1,2,1,16.0,7969
-1,1,-1,-1,0,1,0,0,5.0,8487
0,1,-1,-2,0,2,1,0,11.0,9021
2,1,-2,-1,0,-2,0,0,14.0,9563
-2,1,2,2,0,2,0,0,17.0,10094
-2,1,2,0,2,1,0,-1,15.0,10667
2,1,-2,0,0,1,0,1,11.0,11196
-1,1,0,0,-2,2,0,2,14.0,11731
-1,1,0,0,0,2,0,0,6.0,12253
-2,1,2,-1,0,1,0,0,11.0,12794
-2,1,-1,0,0,1,0,0,7.0,13340
-2,1,-1,-1,0,2,0,-2,15.0,13847
-2,1,0,-1,1,2,1,0,12.0,14451
-1,1,-2,0,2,2,0,0,14.0,15025
-2,1,-1,-1,0,2,0,1,12.0,15497
-1,1,-2,0,-1,2,1,0,12.0,16050
-2,1,-1,0,0,2,0,0,10.0,16597
0,0,0,0,0,0,0,0,0.0,17106
0,1,0,0,0,0,0,0,1.0,17651
2,-2,-2,-1,-2,1,2,1,23.0,17759
0,0,0,0,0,0,0,1,1.0,18287
0,0,0,0,1,0,0,0,1.0,18832
0,0,0,0,0,0,1,0,1.0,19382
0,0,0,0,0,-1,0,0,1.0,19898
0,0,0,1,0,0,0,0,1.0,20438
0,0,1,0,0,0,0,0,1.0,20988
1,0,0,0,0,0,0,0,1.0,21566
0,-1,0,0,0,0,0,0,1.0,22158
0,2,1,-2,-2,-2,-1,-2,22.0,22747
2,2,1,1,-2,-1,2,1,20.0,23712
-2,1,1,2,-2,-2,-2,0,22.0,23814
-1,-1,0,-1,-1,0,0,0,4.0,24503
0,1,0,0,2,-2,-2,-2,17.0,25049
0,0,0,0,0,0,0,-2,4.0,25658
0,-1,-2,-1,0,0,-2,0,10.0,26288
0,0,0,0,-1,0,0,0,1.0,26964
-1,2,0,-2,0,-2,2,2,21.0,27627
-2,-2,2,-1,2,1,1,-2,23.0,28262
-2,-1,1,-2,-1,2,0,-2,19.0,28879
0,0,0,0,0,0,-1,0,1.0,29488
-2,-1,-1,-2,-2,1,1,2,20.0,30176
-2,-2,0,-2,-2,0,-1,2,21.0,30771
-2,1,0,-1,2,0,-1,2,15.0,31374
-2,-1,-2,-2,0,2,0,-2,21.0,31974
-2,-1,-2,-1,0,-2,2,-1,19.0,32625
-2,-2,-1,-1,-1,2,-2,0,19.0,33433
-2,-2,-2,0,1,-2,-1,0,18.0,34135
-2,-1,0,-2,2,0,-2,-1,18.0,34831
1,2,-2,-1,2,1,1,0,16.0,35021
-2,-1,2,-1,0,-1,-2,0,15.0,35728
-2,2,2,-1,2,1,1,0,19.0,36501
0,2,2,0,-1,2,-1,1,15.0,36736
2,1,2,0,1,1,2,0,15.0,37028
-2,2,-2,-2,0,-2,0,-2,24.0,37799
-2,2,0,2,2,2,2,-1,25.0,38451
-2,-1,-1,-2,1,-2,2,0,19.0,39196
-1,-1,-1,-2,1,2,1,1,14.0,39401
-2,-2,2,-2,0,-2,0,-1,21.0,40168
-2,-2,1,1,0,-2,2,0,18.0,40932
-2,-1,-1,-1,2,1,-2,1,17.0,41600
-2,2,1,-1,1,-1,0,1,13.0,42293
