x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,value,Timestamp
-1,-1,2,0,2,-2,1,2,2,-2,0,-2,31.0,7
-2,1,1,1,2,2,2,2,1,-2,-2,-2,36.0,12
-2,-1,-2,-2,-2,-2,1,-1,1,-1,2,0,29.0,16
0,-2,1,1,1,2,1,0,-1,-1,1,0,15.0,21
-1,2,-2,1,1,-2,-1,2,2,1,-2,1,30.0,25
0,0,-1,-1,2,-1,-2,-2,0,-2,0,-1,20.0,30
-2,0,-1,-1,2,2,-1,1,0,2,-1,0,21.0,34
0,0,-1,-2,-1,0,2,1,-2,1,2,2,24.0,39
0,1,1,-1,2,2,2,1,2,-2,-2,2,32.0,43
1,0,0,-2,-1,-2,2,1,-2,-2,-1,1,25.0,48
0,-2,-1,-2,-2,2,-2,0,2,-2,0,2,33.0,52
-2,-2,-1,0,1,-1,2,1,1,-2,1,-1,23.0,57
-1,1,-2,2,-2,-1,-1,-1,-2,2,0,2,29.0,62
-1,-1,0,-2,-1,1,-2,-1,0,-1,0,0,14.0,93
-2,-2,-1,-1,1,-1,0,-2,0,-1,-2,-1,22.0,807
-1,-1,2,0,1,0,-2,2,0,2,2,1,24.0,828
0,-1,0,-2,-1,1,1,0,0,-2,0,-2,16.0,1747
-2,-2,2,-2,1,-2,-1,-2,-1,1,1,2,33.0,1770
-1,-2,1,2,1,1,1,2,0,-1,0,-1,19.0,2509
-2,2,1,-1,2,1,1,-1,-1,0,0,0,18.0,3292
-1,1,0,0,0,0,1,-2,-1,0,0,-2,12.0,3318
-1,1,0,0,0,0,2,-2,-1,1,0,-2,16.0,4081
-1,-1,0,-2,-2,-1,-1,-2,0,2,-1,-1,22.0,4835
2,-2,0,1,0,2,-2,-1,-1,-2,1,-2,28.0,5595
1,-1,0,-1,-2,0,2,-2,0,0,-2,-1,20.0,6435
-2,1,1,1,-2,1,1,-1,-1,-2,1,0,20.0,7198
-2,-2,0,0,0,0,-2,2,-2,1,0,-2,25.0,8048
-1,-2,1,2,0,2,2,-1,-2,-2,2,-2,35.0,8833
0,-1,-1,2,1,2,2,-2,-2,-1,0,-2,28.0,9567
2,0,0,2,1,0,2,0,-1,-1,2,-2,23.0,10308
-1,1,0,-2,0,2,2,-2,-1,-2,0,-2,27.0,11023
-1,1,0,-1,0,0,0,-2,0,0,1,-2,12.0,11751
-1,1,0,-1,0,0,0,-2,0,0,2,-2,15.0,12481
-1,2,2,0,0,0,-1,-2,-1,-2,2,-2,27.0,13230
-1,0,2,1,0,0,1,-2,-1,0,0,-2,16.0,14180
-2,1,0,2,2,-2,0,2,-1,1,-2,-2,31.0,15067
-1,1,0,-2,0,2,-1,-2,0,0,1,0,16.0,15831
-1,1,0,0,2,1,0,-2,-1,-1,2,-2,21.0,16560
-1,1,-2,0,-1,-1,2,2,-1,0,0,-2,21.0,17275
-1,-2,0,1,-1,1,0,-2,0,0,1,1,14.0,18029
-1,-2,0,1,-1,1,1,-2,0,0,1,2,18.0,18841
