x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,value,Timestamp
-2,-1,2,-1,2,1,2,0,-2,0,2,-2,2,-1,1,37.0,7
0,-2,2,0,0,-1,-2,0,2,1,2,1,0,0,-1,24.0,12
-2,0,-1,-2,-1,-1,1,-2,-2,1,-2,0,2,1,-2,34.0,17
-2,1,-1,2,-2,1,-1,0,1,2,-2,2,2,0,-2,37.0,22
-1,2,-2,-2,0,2,0,2,1,2,2,1,2,-2,0,39.0,27
-1,2,-2,-2,2,1,-2,-2,2,1,-1,2,-2,1,0,41.0,32
2,1,2,2,0,2,2,1,1,0,-2,-1,-1,2,2,37.0,37
2,-1,2,-1,-1,-2,-2,1,0,0,2,1,0,0,-1,26.0,42
-2,0,0,0,2,0,0,0,-2,1,-2,-2,-1,-2,0,26.0,46
-1,2,-1,2,2,0,2,1,-1,-1,0,2,-2,-1,-1,31.0,52
0,-1,-2,1,0,1,2,-1,-1,-1,-1,-1,0,0,0,16.0,57
2,-2,2,2,0,1,0,-1,-1,2,1,-2,1,1,1,31.0,62
0,-1,0,0,0,1,1,-2,1,-2,2,-2,1,-2,-2,29.0,68
0,1,2,-1,0,-1,-2,0,-1,2,-2,-2,0,0,1,25.0,73
2,-1,0,0,2,0,-2,-2,1,1,-1,-1,-1,0,-1,23.0,78
-1,-1,0,0,1,2,0,-1,-2,2,1,-1,0,1,0,19.0,83
-2,1,2,0,-1,-2,1,0,2,2,0,-1,0,0,2,28.0,123
-2,-1,0,1,-1,1,2,-1,-1,1,2,2,-1,0,2,28.0,1348
0,-1,-2,1,1,-2,-1,1,-1,1,1,2,1,0,-1,22.0,2419
-1,0,-2,-2,2,-2,2,-1,-2,0,0,1,0,-1,0,28.0,3705
2,0,-2,0,-1,1,1,1,-2,1,-2,2,-2,0,0,29.0,4733
0,-1,-2,1,1,1,-1,1,1,1,-2,-1,1,1,0,19.0,5736
0,-1,-2,1,1,1,-1,2,1,1,-2,-1,1,1,0,22.0,6698
1,0,0,-1,2,-2,2,-2,-2,2,-1,-1,2,1,0,33.0,6722
-2,-2,-1,-2,0,2,0,1,-2,-2,1,-1,-2,1,0,33.0,7658
-1,-1,-1,0,0,2,-1,2,2,-2,-2,0,0,2,0,28.0,8701
-2,0,-2,2,1,1,0,1,0,-1,-2,0,1,1,-2,26.0,9929
0,-1,-2,2,2,1,2,-2,-1,1,-1,1,0,2,-1,31.0,11273
-2,2,-2,1,0,1,2,0,0,1,1,-2,1,1,0,26.0,12257
2,1,0,1,0,-1,0,-2,0,1,2,2,-2,-2,2,32.0,12297
0,-1,-2,-2,-1,2,0,0,2,0,1,0,0,0,0,19.0,13282
1,-1,-2,1,0,1,2,-1,-1,-1,-1,-1,0,1,0,18.0,14393
2,-1,-2,-1,-2,-2,2,-2,2,1,0,-1,1,2,0,37.0,15547
0,-1,-2,0,2,2,-2,-1,2,-2,-2,1,-2,-1,0,36.0,16814
0,0,1,-2,-2,2,2,1,2,1,0,0,2,0,2,31.0,16842
1,-2,-2,-2,2,2,1,0,1,-1,2,-1,0,0,-1,30.0,17982
-1,-2,1,1,0,-1,0,-2,2,-2,0,-1,0,0,0,21.0,19088
2,-1,-2,-1,0,2,2,0,-1,-1,-1,0,1,1,0,23.0,20092
0,-1,-2,0,-2,1,2,0,1,-2,0,-1,0,0,0,20.0,21214
-1,-1,-1,1,-2,1,-2,-2,-1,2,0,-1,-1,1,1,26.0,22887
-2,1,1,1,1,2,0,-2,-1,-2,1,-1,0,1,0,24.0,22926
1,-2,-2,-1,1,0,2,-2,0,-1,-1,-1,0,0,0,22.0,23927
-1,-1,0,1,1,2,1,-1,-2,2,1,-1,0,1,0,21.0,24920
0,-1,1,2,0,2,2,1,-2,-2,-2,0,0,-1,0,28.0,25948
2,1,-2,-2,-2,0,-2,2,1,-1,2,2,1,1,2,41.0,25978
-1,-2,1,1,0,1,2,1,1,-2,1,1,0,1,0,21.0,27028
0,-1,2,-2,-2,2,1,0,-1,-1,-2,2,0,0,0,28.0,28231
0,-1,-2,1,0,1,2,-1,-1,-1,-1,-1,0,0,2,20.0,30936
0,-1,-2,1,0,1,2,-1,-1,-1,-1,0,0,0,0,15.0,34179
-1,-2,-2,2,0,0,0,-1,1,1,-2,0,2,1,-1,26.0,36114
1,2,0,0,1,2,1,-1,-1,0,0,-2,1,-1,0,19.0,36231
2,1,0,-1,1,2,-1,0,0,-2,-1,-1,0,2,-2,26.0,36372
0,-1,-2,1,0,1,2,-1,-1,-1,-1,1,0,0,0,16.0,39121
0,-2,0,1,0,0,2,2,-1,1,1,1,0,2,-2,25.0,40999
2,-1,-2,1,0,1,2,-1,-1,-1,-1,2,0,0,0,23.0,42311
-1,-1,-2,1,1,2,2,-1,1,0,0,0,-1,1,1,21.0,45759
0,-1,-2,1,-1,-1,2,0,-2,-1,-1,1,0,-2,0,23.0,48828
-2,-1,-2,1,-1,1,-2,-1,-1,-2,-2,1,-1,0,-1,29.0,50801
0,-1,-2,2,0,1,2,-1,-1,-1,-1,0,0,0,0,18.0,53470
0,-1,-2,1,0,1,2,-1,-1,-1,-1,0,2,0,0,19.0,54959
0,-1,-2,2,0,1,2,-1,-1,1,-1,1,0,0,0,19.0,56869
1,-1,-2,1,0,1,2,-1,-1,-1,-1,-1,0,2,0,21.0,59518
-2,-2,-2,1,-2,2,2,-1,-2,-1,-1,1,0,0,0,33.0,62648
0,-1,-2,1,0,2,2,-1,-1,-1,-1,1,0,0,0,19.0,64834
-1,-1,-2,1,1,1,-1,2,-1,-2,-1,-2,0,-2,0,28.0,67324
-1,-1,1,-1,1,1,0,-1,2,-1,-2,2,0,0,0,20.0,69083
-1,1,-1,-1,-1,0,1,1,-2,-1,-1,-2,-1,0,2,22.0,69141
1,2,0,2,0,0,-1,-1,2,-2,-1,-2,2,1,2,33.0,70884
0,-2,2,1,0,1,2,-1,-2,-1,-1,1,0,1,0,23.0,73487
0,-1,-1,-1,0,1,2,-1,-2,-2,-2,1,-2,0,0,26.0,75954
0,-1,-1,1,2,1,1,-1,2,-1,0,-1,1,0,0,17.0,78156
0,-1,-2,1,0,1,2,-1,-1,-1,-1,2,0,1,0,20.0,80952
0,-1,-1,1,2,1,1,-1,2,-1,1,-1,2,0,0,21.0,82407
1,-1,-2,-2,2,-2,-1,-2,-1,1,-1,0,1,0,0,27.0,83530
0,-1,0,1,-1,1,2,0,2,0,-1,-1,1,0,0,15.0,84506
1,-1,0,1,-1,1,2,0,2,1,-1,-1,1,0,1,18.0,85505
0,-1,0,1,-1,1,2,1,2,0,-1,-1,1,0,0,16.0,86506
-2,-1,2,0,-2,-1,-2,0,1,-1,-1,0,2,2,0,29.0,86555
0,-1,0,2,-1,1,2,0,2,0,-1,-1,1,0,0,18.0,87654
0,-1,-2,1,2,1,2,-1,0,-1,-1,1,0,0,0,19.0,88624
0,-1,0,1,-2,2,2,2,-1,0,2,-1,2,0,2,32.0,89665
0,-1,0,1,-1,1,2,0,2,0,-1,-1,2,0,0,18.0,90621
0,-1,0,1,-1,1,2,2,2,0,-1,-1,1,0,0,19.0,91545
0,-1,-2,1,2,1,-2,-2,-2,0,-1,0,2,0,0,28.0,91586
0,-1,1,1,-1,1,2,1,2,0,-1,0,1,0,0,16.0,92594
-1,-1,-2,1,-2,0,-2,-1,2,0,0,0,-2,0,0,24.0,93754
0,-1,2,2,-1,1,2,1,2,0,-1,0,1,0,0,22.0,94862
0,-1,1,1,-1,1,1,-1,2,0,0,0,1,-1,0,13.0,95856
-1,0,0,2,2,1,1,0,0,0,0,1,-2,1,-1,18.0,95900
