x1,x2,x3,x4,x5,x6,x7,x8,value,Timestamp
-2,-2,-1,-1,1,1,1,-2,17.0,6
0,-1,2,2,1,-2,-1,-1,16.0,11
-2,-2,0,-2,0,2,-1,0,17.0,15
-2,-2,-2,-1,2,1,0,0,18.0,19
2,1,-2,2,-2,2,1,1,23.0,25
0,1,0,-2,1,2,-1,2,15.0,30
2,1,2,2,0,-2,0,-1,18.0,34
0,-1,2,1,1,0,1,2,12.0,39
-2,1,-1,1,-2,0,-2,2,19.0,43
2,-1,0,-2,2,0,1,2,18.0,615
-1,-1,-2,0,0,0,1,2,11.0,1198
-1,-2,2,0,-1,0,1,2,15.0,1743
-1,-1,-2,-2,-2,-2,1,2,23.0,2291
1,-2,-2,0,-1,2,2,2,22.0,2836
-1,0,-2,0,2,-2,1,2,18.0,3380
-1,-1,1,1,-1,0,2,1,10.0,3940
-1,-1,-1,-1,-1,1,2,1,11.0,4500
-1,-2,-2,0,-1,1,-2,2,19.0,4522
-2,-2,1,-2,-2,-2,2,2,29.0,5070
-1,-1,-2,0,-1,0,1,1,9.0,5621
-2,-1,1,0,-1,0,2,1,12.0,6218
-1,-1,-2,1,-1,2,1,1,14.0,6780
-1,-1,-2,-2,-1,-1,1,2,17.0,7327
-1,0,-2,-1,0,0,2,1,11.0,7892
-1,0,-1,0,1,0,0,1,4.0,8482
-1,0,-2,0,2,0,0,1,10.0,9045
1,0,-1,1,2,0,0,1,8.0,9602
2,1,1,-2,2,0,-2,-1,19.0,9627
1,0,0,-1,2,1,-1,-2,12.0,10183
-1,2,-1,-1,2,0,0,0,11.0,10736
1,-2,0,2,0,-1,1,2,15.0,10761
-1,2,-1,2,1,0,-1,1,13.0,11370
-2,-1,2,-2,1,-2,1,1,20.0,11921
0,2,-2,0,1,0,0,1,10.0,12488
-2,0,1,0,1,0,0,2,10.0,13071
2,0,-1,1,2,0,0,1,11.0,13636
-1,0,-1,0,-1,0,0,0,3.0,14198
-2,0,-1,0,-1,2,0,2,14.0,14768
-1,1,-2,2,-1,0,0,-2,15.0,15331
-1,0,-1,1,-1,0,0,0,4.0,15899
-1,0,-1,1,-1,0,-1,-1,6.0,16452
2,1,-1,1,-1,0,-2,0,12.0,17033
-2,-1,0,1,-1,-1,-1,0,9.0,17600
-2,1,0,2,0,2,-1,2,18.0,17628
-1,-1,-1,2,1,0,-1,-2,13.0,18193
-1,0,-1,0,0,0,-2,-2,10.0,18764
-2,1,2,-1,-1,-2,2,0,19.0,18793
-1,0,1,-1,-2,0,0,0,7.0,19358
1,0,-2,1,-1,0,0,0,7.0,19937
-1,0,-1,0,-1,0,-2,1,8.0,20524
-2,0,2,1,-1,0,0,1,11.0,21401
1,-2,-1,0,-2,0,0,-1,11.0,22080
2,0,-1,2,-1,-1,0,0,11.0,22653
-1,0,0,1,-1,0,0,-1,4.0,23240
-1,0,1,-2,-1,0,2,0,11.0,23828
-1,0,0,-2,-2,-1,0,0,10.0,24454
-1,0,1,0,-2,-1,1,-1,9.0,25127
-1,0,0,2,-1,2,0,0,10.0,25711
-1,0,0,0,-1,0,2,-1,7.0,26290
-1,0,-1,0,0,0,0,0,2.0,26874
2,0,-2,0,1,0,-1,-1,11.0,27480
0,0,-1,0,1,0,0,0,2.0,28064
-2,0,-1,0,1,0,0,0,6.0,28636
0,0,0,0,1,-1,0,0,2.0,29224
0,0,0,0,1,-1,-1,0,3.0,29799
0,0,0,0,0,0,-2,0,4.0,30388
0,0,-1,0,-2,-2,-1,0,10.0,30975
-1,0,0,0,1,-2,0,0,6.0,31563
0,0,2,0,1,-1,0,0,6.0,32169
1,0,0,0,0,2,0,0,5.0,32756
0,0,-1,0,1,-2,1,0,7.0,33339
0,0,-1,0,2,-1,0,0,6.0,33932
0,0,-1,0,-1,0,0,0,2.0,34509
0,0,-1,0,0,1,0,0,2.0,35087
0,0,-1,0,-1,2,0,0,6.0,35667
1,0,-1,0,0,1,0,0,3.0,36294
1,0,-1,0,1,0,1,0,4.0,36888
0,0,-1,0,0,-1,1,0,3.0,37466
0,1,0,0,1,1,0,0,3.0,38066
-1,2,-1,0,0,0,1,0,7.0,38664
1,1,1,0,1,0,0,0,4.0,39287
-1,1,0,1,0,1,1,0,5.0,39885
0,1,0,0,-1,0,1,0,3.0,40488
0,0,-1,0,1,0,2,0,6.0,41113
1,1,1,0,0,1,2,2,12.0,41721
0,1,0,0,1,-1,-1,0,4.0,42302
0,1,-1,0,0,1,0,-1,4.0,42889
-1,1,0,0,2,1,0,-1,8.0,43467
0,1,1,0,0,1,2,0,7.0,44058
