x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,value,Timestamp
416,27,300,317,228,384,95,25,176,432,166,189,4129.003705348657,7
23,116,195,5,172,457,276,282,439,108,152,316,5105.439112651127,11
96,473,447,337,438,239,234,0,357,151,91,141,4363.848704110254,16
435,400,362,292,322,190,396,52,274,433,363,357,3896.228667961932,20
290,161,218,101,339,257,3,447,432,419,69,126,4297.222013107472,24
333,453,377,169,88,240,56,428,84,134,500,45,4380.609867932581,28
82,328,469,351,185,337,152,404,128,176,409,419,3946.132011452076,33
143,89,93,363,222,393,296,8,320,445,138,78,4836.333803465289,37
387,308,367,251,397,164,99,329,46,277,115,67,5087.996641057073,41
236,210,354,28,166,285,263,446,187,458,327,7,4585.412522479757,45
246,74,487,442,228,42,394,460,376,55,183,241,3495.70457543714,50
48,69,191,201,481,267,47,60,419,478,254,410,3772.967643459579,55
137,417,299,106,383,114,394,306,475,281,138,75,5118.3417143255865,59
282,319,500,500,353,498,446,496,319,16,472,348,6102.898465497003,2024
246,74,487,442,228,42,394,460,376,55,184,241,3491.10081475924,3077
251,58,498,479,356,43,398,421,391,76,295,448,3924.815203615871,4652
240,113,493,357,34,35,389,500,434,205,216,239,4238.553791789219,6026
325,452,500,471,192,22,391,500,331,434,122,276,4859.926450690121,7436
48,340,490,269,224,134,0,228,257,24,81,432,4875.908822259246,7543
243,79,474,477,292,45,391,490,354,122,223,185,4629.331447868409,8936
246,74,487,442,228,42,394,460,376,55,259,241,3743.1542900453614,10032
246,74,487,442,228,42,436,460,376,55,204,241,3384.8074125902735,11192
246,119,487,442,228,42,500,460,376,55,204,241,4128.804775580469,12317
246,74,487,442,228,42,500,500,376,55,204,241,4374.511101493011,13747
246,93,487,442,228,61,419,460,376,55,203,241,3378.744848957315,14678
279,93,487,442,228,61,419,460,379,55,203,241,3592.5899783835202,15629
246,93,487,482,228,61,419,460,376,55,203,241,3725.0201251240765,16563
246,93,500,442,228,61,425,460,376,55,203,241,3523.470554285141,17453
499,368,30,145,46,152,370,450,257,288,54,205,4837.149647315064,17534
246,93,487,442,228,61,419,460,393,55,203,241,3247.2206633147675,18414
246,93,487,442,228,61,419,460,454,55,203,241,3285.5980157440604,19417
246,93,487,442,228,61,422,460,419,58,203,241,3147.037375390936,20397
317,7,163,92,120,179,386,155,160,36,49,267,5135.592694688035,20480
62,498,489,252,284,223,442,277,392,118,500,287,5437.262412732259,21416
240,464,217,258,128,453,89,133,159,366,210,48,4291.926691231281,22460
242,296,55,195,204,411,282,131,105,49,450,210,4335.407487969849,23361
246,93,487,442,228,61,427,460,423,500,222,241,3429.706819485965,24402
210,447,239,403,381,100,195,363,279,253,76,216,3661.505168103955,24487
256,254,500,479,356,121,395,427,392,356,309,447,4286.531018413486,25752
218,63,477,429,333,281,414,442,419,195,204,345,3243.4404247550565,27009
228,6,472,429,37,18,420,441,415,346,206,419,2645.382384151721,28368
213,315,456,419,113,26,427,432,418,21,199,446,2801.9157274445206,29503
158,85,449,464,224,56,402,422,422,90,200,189,2700.1758528246583,30892
163,73,448,453,243,54,435,437,429,156,190,500,3061.6350902759386,32249
343,9,350,343,5,448,138,20,215,154,106,299,5302.937992465938,32589
168,258,473,448,85,84,388,407,424,234,208,447,2838.9192328969793,33777
260,498,210,159,313,37,126,270,114,71,230,12,5617.296198532091,33985
220,85,449,464,224,56,402,422,422,90,200,189,2531.7790971391278,35138
202,1,409,459,37,88,373,393,405,399,196,283,3001.812595364854,36357
205,85,449,464,224,56,402,422,422,90,235,189,2612.267083991119,37678
202,1,461,459,37,88,429,410,405,399,196,283,2851.0004840322217,38946
205,234,394,500,127,206,371,441,496,209,50,376,3694.79226478099,40181
238,1,436,459,37,88,409,444,420,399,196,283,2854.0478426076315,41493
254,150,442,481,440,22,381,304,460,174,32,130,4250.623931531721,42558
141,432,331,398,386,364,422,221,7,217,349,260,3599.0614850481597,42797
148,495,52,433,484,188,339,208,410,468,439,359,3565.0768661999537,43048
101,492,80,500,500,63,228,346,376,61,486,135,5277.328808794989,44592
206,500,19,500,500,193,457,126,500,500,500,500,5780.816670334917,46166
500,115,210,301,500,295,49,12,185,500,416,244,5452.394678091295,47490
101,3,210,500,351,84,213,430,459,236,27,344,4286.196411685796,48692
235,500,398,500,500,446,500,108,12,500,418,79,4782.077992154186,50175
25,488,318,500,482,162,414,309,27,297,213,188,5348.247981205259,51528
202,1,430,500,37,88,373,396,500,399,211,283,3969.883732394307,52912
63,287,281,254,232,500,474,216,15,367,481,500,5376.809787880346,54197
207,85,449,464,224,56,402,424,422,90,208,189,2501.58657077359,55969
4,241,5,90,500,235,23,53,500,500,430,500,5187.04590125773,57574
355,500,54,500,500,500,101,373,258,500,24,346,5976.8776285845925,60246
500,500,500,160,500,348,500,6,489,500,432,500,5998.177685784001,63815
36,235,2,351,500,500,276,194,402,500,395,146,4913.790657984181,66457
204,9,446,446,309,22,396,420,401,115,202,282,3484.979113737797,69722
201,33,454,454,139,222,407,434,415,46,218,240,2750.3086293715637,73563
