x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,value,Timestamp
243,456,435,73,263,9,398,115,115,48,378,292,146,271,374,5651.990654436506,10
466,50,167,332,55,288,155,53,87,193,420,214,264,419,425,4898.248906877925,16
173,132,491,225,105,153,188,345,134,395,114,274,202,345,141,6340.204538795917,21
456,431,438,207,76,303,365,233,363,241,483,347,358,157,377,4813.003852476295,28
173,172,50,358,416,275,401,369,39,43,435,495,478,143,217,4896.057136135162,33
110,77,296,15,16,171,14,22,488,459,108,210,410,348,468,5791.473309871599,38
3,99,45,399,272,64,26,68,340,362,302,299,319,379,482,6743.510079615005,42
225,425,225,317,127,10,372,239,192,99,432,207,157,463,54,4763.606208233221,47
355,314,17,76,233,248,431,398,60,219,373,453,95,476,460,4701.41351146816,51
88,483,376,139,271,441,210,462,275,243,481,462,383,392,390,4633.804151845798,56
215,191,11,479,345,203,56,87,456,157,145,267,36,473,6,5557.876155874897,61
230,185,169,284,85,246,331,143,333,25,422,443,105,311,439,5879.899715555992,66
441,360,475,162,133,32,113,407,412,332,50,410,279,247,473,5065.607330965655,70
155,257,254,314,433,211,431,355,454,485,475,200,459,35,81,4894.992746607493,75
399,169,206,456,340,400,391,13,388,82,320,13,480,5,373,4582.785231534139,80
240,231,202,126,85,429,249,427,206,484,182,196,364,284,467,4683.073749583119,84
256,415,80,452,404,381,442,439,297,480,500,500,236,459,490,4605.772133156285,2563
198,231,191,322,94,500,140,462,288,476,500,264,271,358,500,6974.692434537706,4276
320,500,264,386,380,429,487,440,462,402,500,500,258,470,456,5052.268151233951,6877
175,500,443,500,500,425,500,500,500,500,500,175,500,13,482,6907.33893236865,9427
115,215,258,500,461,272,349,437,85,500,500,500,295,448,500,6783.61556999565,11100
247,443,5,500,500,266,500,480,390,500,500,500,173,500,500,7079.004363135306,13267
420,169,206,456,340,400,391,13,388,82,320,98,480,5,373,4562.976265951074,14524
173,172,50,358,416,275,401,427,39,43,435,495,478,143,217,4611.592508821456,15719
173,172,50,358,416,275,401,500,39,43,435,495,478,176,217,5011.474238742201,16808
399,198,206,456,340,400,391,13,388,82,320,13,480,5,373,4456.223499777494,18004
487,304,206,456,340,400,391,13,388,82,320,90,480,5,373,5351.33165938305,19402
399,184,206,456,340,400,398,15,388,82,320,500,500,5,373,4855.423445845428,20964
266,415,249,443,340,388,297,214,367,88,343,492,224,28,361,5539.484129461756,23072
256,415,80,472,404,381,442,439,297,480,500,500,236,459,490,4783.59691864597,24305
284,464,454,477,341,414,492,485,393,255,321,67,433,41,387,5051.358444016909,26178
121,483,376,139,271,441,210,462,278,243,481,494,473,489,390,5628.920126113714,27379
399,198,206,456,340,400,391,13,388,144,320,13,480,5,382,4485.20338197936,29007
500,198,206,456,340,400,391,13,388,82,332,500,480,5,373,5104.58008616651,30512
173,172,50,358,416,275,401,500,39,43,487,495,478,143,255,5883.850372800043,31863
500,198,229,458,340,400,391,13,388,82,320,500,480,5,373,5264.6415512053345,33185
399,264,206,456,340,400,391,13,388,144,349,13,480,102,382,4682.2170470693145,34913
264,482,97,379,404,381,440,443,298,477,500,500,239,461,491,5252.0539542277675,36927
399,261,206,456,340,400,391,13,390,82,320,13,480,5,373,4752.542596762098,38056
399,169,206,456,340,400,391,99,388,82,334,13,480,5,422,4293.56207394625,39344
253,143,165,446,336,401,376,81,389,500,343,154,469,291,500,5926.6290309484375,41396
399,193,206,456,340,408,484,99,388,82,347,13,500,45,422,4561.146827307735,43188
184,230,309,349,413,270,403,500,161,149,408,327,498,17,314,6252.699291615856,45189
420,169,206,456,340,400,391,84,500,82,378,98,480,5,373,4533.740561407899,46726
392,139,386,454,353,387,487,92,461,177,436,231,430,220,399,3501.8707170845005,48522
383,53,406,472,362,422,462,69,447,238,426,480,401,388,399,2829.7741635872235,50708
470,233,492,325,123,158,142,499,319,160,184,369,45,195,168,6442.522255665243,50829
383,53,406,483,380,500,462,69,447,238,426,480,401,388,399,3381.8796020712884,53514
