x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,value,Timestamp
125,165,53,497,441,193,363,478,446,468,442,104,3721.5361824194497,7
328,199,448,351,103,399,125,176,198,142,243,310,4631.254789819272,12
373,327,253,69,224,361,144,341,144,47,358,331,5303.16925543921,16
278,155,157,189,436,337,92,9,186,183,455,409,3894.2222387559077,21
199,48,326,274,357,259,277,425,153,244,176,81,4986.7144820472895,64
195,17,215,252,429,87,312,430,460,37,200,314,4020.221430804932,69
306,393,73,205,64,241,43,372,44,200,292,325,4776.568237542115,73
273,367,316,221,68,261,318,433,43,13,199,328,5164.048356196615,78
215,285,465,409,463,145,1,214,484,131,150,463,4140.848317434509,82
150,6,252,474,316,192,27,80,418,253,99,118,4888.116122107926,88
346,486,329,358,295,17,377,124,453,24,16,214,5109.027216980171,95
34,222,436,475,405,363,280,366,177,224,239,495,3872.7072469819627,100
93,17,428,171,344,119,211,138,491,128,192,349,4769.619659842368,104
13,250,121,469,395,347,134,198,37,185,412,487,4156.291599172068,1504
34,143,381,459,412,313,18,352,348,386,439,52,3937.3233279322026,2853
213,183,224,500,396,201,405,227,446,84,267,80,3405.975874306613,4139
147,61,154,490,386,91,480,352,350,61,231,163,4693.3686948364,5651
352,82,159,500,392,327,393,116,401,248,68,259,4573.159021448507,6752
327,183,224,500,396,201,405,227,446,84,267,80,3823.8777949101623,7762
172,298,296,497,414,323,495,55,339,38,376,103,5613.690860864035,9082
200,141,299,500,407,214,459,91,487,157,382,451,4067.4391335798114,10666
213,183,224,500,396,201,500,227,446,84,267,80,3973.9826064390313,11936
240,220,202,19,395,362,387,363,454,71,415,17,3118.7729534557334,13306
240,290,202,19,395,362,387,363,454,71,415,17,3568.741871368761,14795
500,292,202,19,395,362,387,363,454,71,415,17,3806.4500299324,16300
214,60,30,115,414,383,352,255,331,39,411,38,4144.249579942099,17487
240,220,292,19,395,362,387,363,454,71,415,17,3606.9011283042346,18822
247,294,111,487,467,297,412,426,460,289,45,40,4776.261230128144,20036
240,293,202,19,395,362,387,363,454,71,415,17,3576.898810722864,21186
240,220,202,19,435,362,484,363,454,71,415,17,3350.110930754362,22382
240,220,202,19,435,362,500,363,454,71,415,17,3526.416055589198,23667
218,288,172,498,416,53,250,337,321,19,148,19,5270.9233590841195,24821
284,170,246,359,487,231,388,407,459,7,481,200,3928.8925475160922,26062
254,43,241,7,188,306,391,23,330,42,431,13,4664.90856742717,27287
303,209,198,293,356,180,350,479,114,323,405,51,5009.42811749752,27315
183,218,98,18,436,338,401,488,446,10,474,332,3952.052379078623,28563
380,81,104,178,310,310,212,177,43,256,269,216,5039.802457917286,28591
246,193,175,7,468,447,422,445,193,444,202,16,2728.287805509937,29714
246,351,175,39,468,447,422,445,193,444,202,16,2960.4799531323683,31145
246,351,175,74,468,447,422,445,193,444,202,16,2904.762558799362,32251
160,303,71,316,457,381,393,464,32,87,161,8,4494.394408038481,33534
25,116,228,405,299,218,378,220,81,423,479,184,3732.8248143641786,33566
293,476,95,325,474,463,177,466,139,430,20,17,4608.297963263454,34896
29,309,473,71,489,390,119,186,24,497,359,25,5042.521558607483,36019
73,307,158,4,459,478,475,60,287,427,181,102,4585.177838365965,37048
236,451,178,495,500,414,288,218,458,490,214,16,4145.350971626569,38087
246,193,175,7,468,447,422,491,193,444,202,16,3157.590034963049,39239
245,498,128,80,493,462,500,2,203,326,183,3,5197.750579591964,40328
238,6,402,257,178,410,296,278,485,11,110,365,4681.305835124636,40359
27,377,366,57,500,446,374,467,88,227,467,3,3866.3590417432106,41450
364,351,175,74,468,447,492,445,193,444,202,16,3339.582240448114,42559
173,193,10,27,463,489,183,246,22,396,449,9,3816.044081233482,43601
246,351,175,39,468,447,422,445,193,444,202,29,2971.05186527338,44572
257,158,176,30,467,217,419,471,346,475,191,404,3538.462570585679,45531
81,281,461,36,475,500,491,470,254,448,192,189,4414.534493349882,46698
313,99,38,0,484,81,215,445,33,319,355,49,5060.161062460142,47740
246,351,259,74,468,447,422,445,193,444,202,16,3109.7806609652207,48707
246,351,175,47,468,447,422,445,193,444,298,29,3443.4885400250078,49869
246,193,175,7,500,447,422,445,193,444,202,16,3072.7952462873545,50807
489,417,364,89,305,295,117,6,212,220,297,143,5309.158084626298,50841
265,117,22,325,115,307,137,346,456,382,310,51,5882.939289125408,50875
267,172,183,49,85,457,461,470,256,443,187,7,3804.212900961089,51987
297,349,294,7,500,447,422,445,193,444,202,20,4027.275024457409,53107
246,351,175,113,468,447,422,445,193,444,202,16,3064.5297027063216,53986
246,351,175,39,468,447,500,445,193,444,202,29,3570.489670826234,54917
246,351,230,39,468,500,422,445,193,444,202,45,3434.803060544354,55815
297,193,175,7,468,447,422,445,193,444,202,16,3030.785375518026,56736
119,376,337,14,475,129,268,14,304,259,250,282,5993.2071719784635,56774
240,119,244,146,215,446,386,466,492,374,295,99,4414.549682440328,57776
48,344,197,64,210,494,256,466,80,473,421,5,4077.0490574819682,58898
246,193,175,7,468,447,422,445,193,496,202,16,3218.52113444192,59936
285,145,174,219,409,299,409,196,154,445,263,0,4196.0800725552435,60839
246,193,175,83,468,447,422,445,193,444,202,16,2705.9551856328435,61748
246,193,175,145,468,447,422,445,193,444,202,16,2804.26599097325,62929
254,187,2,168,481,167,55,116,452,444,218,333,4184.962901950988,63927
246,193,175,159,468,447,422,445,193,444,202,16,2724.7595510102933,65026
258,492,153,94,476,334,482,473,434,460,430,15,4198.85873896129,66059
246,193,175,143,474,447,422,445,193,444,202,16,2873.975568969503,67133
246,193,175,83,468,447,422,445,193,444,279,16,3141.443525006764,68165
246,193,175,159,468,447,422,445,225,444,202,16,2765.694253073321,69189
210,257,383,318,339,457,210,46,96,208,286,17,4708.144406108609,69231
246,351,175,269,468,447,422,445,249,444,202,16,3335.9991508085154,70395
297,193,175,155,483,447,422,445,193,448,202,16,3233.4237689442625,71461
249,193,175,159,468,500,422,445,193,444,218,16,3289.4378051359727,72471
246,193,175,159,468,475,422,445,225,444,202,16,3008.345003740954,73523
246,193,175,83,468,447,422,454,193,444,202,16,2766.6242219780015,74443
