x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,value,Timestamp
230,398,468,293,425,442,470,147,390,192,337,188,368,6,90,4453.920393073027,15
416,270,186,184,86,50,122,268,434,71,447,118,0,111,100,5446.069924573555,28
247,166,404,218,89,309,51,201,27,93,363,165,154,379,413,5050.4798064825745,34
491,335,133,122,199,138,420,143,294,363,484,454,358,500,499,6602.055233273115,42
307,153,279,234,477,257,218,74,198,375,90,37,437,81,189,5568.151641883213,46
18,88,372,199,72,294,316,58,379,495,485,397,474,447,233,5428.599251749247,50
372,302,73,309,347,18,261,410,314,15,15,267,495,285,423,6899.95969766362,54
36,198,0,360,248,14,25,109,284,398,331,213,186,81,34,5919.874402304331,57
347,489,492,86,465,197,140,406,342,323,494,285,485,168,122,6632.530310740526,62
40,223,396,401,91,236,178,285,456,240,330,368,293,169,483,5458.880872146554,67
45,393,276,231,336,264,396,269,91,338,492,187,500,255,142,6596.0012377618405,71
492,245,136,386,68,50,85,197,323,264,459,309,159,253,15,6369.025062643703,76
14,422,261,315,499,161,147,199,17,253,246,24,472,321,10,6497.700067107622,81
273,19,395,141,273,402,273,270,74,422,197,246,139,197,444,5328.196219520684,86
40,120,47,79,351,136,465,52,463,80,322,399,332,48,176,5947.836433676562,91
49,482,374,158,469,234,302,471,407,463,58,50,348,119,153,5495.503766368642,96
214,180,443,471,451,278,438,30,467,133,405,1,282,7,456,4554.000548172537,2193
17,328,456,144,258,476,419,133,389,48,121,432,294,18,268,5891.493978026506,4418
183,482,322,452,115,178,486,189,405,366,139,215,497,4,42,5464.7186652045475,6497
314,398,468,293,425,442,470,147,390,192,337,188,368,6,90,4856.527675616557,8096
320,180,500,471,451,278,438,30,467,133,499,1,282,7,456,6101.450838103063,10296
341,285,298,308,176,21,265,54,490,66,65,9,284,399,179,6983.958092281253,10319
196,500,311,477,427,363,423,274,383,281,451,200,1,102,137,5439.521372366303,12141
402,120,99,449,458,2,134,110,483,170,452,167,200,169,108,5082.229290271607,12189
214,180,443,471,451,278,438,30,500,133,405,1,282,7,456,4908.2283351097,14061
211,499,84,336,164,399,439,288,252,297,349,13,245,9,123,6411.720068783525,15905
139,486,223,421,282,379,342,184,155,217,73,230,320,414,356,5333.871407793225,15946
275,414,486,340,492,435,451,417,400,71,419,376,416,419,292,3633.035621753229,17980
297,474,448,234,500,292,142,420,14,74,317,446,495,177,0,6083.213352076849,20297
80,49,470,70,496,119,473,391,410,380,350,263,324,411,56,5170.305485540922,23514
5,252,486,274,479,344,494,85,382,51,460,182,231,172,194,5645.179987568999,26336
275,414,486,340,492,435,451,417,400,71,419,376,500,419,292,4229.502225112184,29119
300,180,500,471,451,465,494,30,467,133,500,1,370,7,456,5837.46553167311,31408
275,414,500,340,492,435,451,417,400,71,419,376,416,419,292,3787.2677900275203,34661
336,414,486,340,492,435,451,417,400,71,419,376,500,419,292,4185.133345743329,37160
214,409,479,442,457,433,153,172,445,32,394,42,402,497,279,3895.9586604560827,40431
261,443,307,371,124,444,213,181,441,65,396,53,206,444,161,4231.980577900407,42178
230,442,468,386,160,410,300,125,406,156,168,246,73,495,165,4942.013214330025,46107
285,381,269,208,183,424,287,325,14,49,408,122,389,179,178,5371.071113317057,48915
317,431,265,366,474,436,198,497,205,344,267,158,400,489,333,5591.445175691903,51132
61,422,498,103,106,215,317,195,95,368,435,114,158,426,266,5367.028466862179,51167
347,414,500,340,492,435,451,417,400,71,419,376,416,419,292,3652.4391458166892,53777
346,86,329,266,500,457,124,378,454,331,344,58,407,419,472,5575.299369225835,56606
358,398,500,293,500,442,470,147,390,192,421,188,420,6,90,4612.638086753148,59710
92,416,500,282,400,432,234,25,412,43,394,464,210,469,345,4264.439389116107,63019
120,404,233,365,50,411,366,324,457,89,359,27,416,77,383,4539.92305025938,65919
6,488,272,46,424,227,14,349,65,306,125,224,122,236,95,6291.158572855586,66016
386,409,500,442,457,459,153,172,445,32,394,42,402,497,279,4193.556832426634,69379
311,409,500,442,500,433,153,172,445,73,472,42,411,497,279,5151.3829646494305,72784
275,414,500,340,492,435,451,480,400,71,482,376,416,419,292,4565.666901234047,75737
275,414,486,340,492,500,451,417,400,71,419,376,416,419,292,4207.874356668737,78759
339,414,500,340,492,435,500,417,400,71,419,376,416,419,292,4209.27624697502,80954
424,399,305,23,465,435,242,207,472,28,404,412,351,489,211,4017.1721477302963,84226
259,450,432,278,496,408,277,326,450,63,105,162,263,432,101,5541.6247910613,86735
168,469,142,79,495,431,332,269,408,56,406,239,434,425,425,4066.761119085559,88614
178,400,499,389,494,430,241,73,495,27,230,28,374,177,222,4871.7483149757045,90749
275,414,486,340,492,435,451,417,454,71,419,376,416,419,292,3711.376657320504,92783
275,414,486,340,500,435,451,417,454,71,419,376,416,419,292,3799.083747422703,96121
500,110,493,256,468,450,412,406,394,47,369,462,421,415,53,3874.1288299347307,98984
219,340,228,443,446,444,78,401,447,59,0,415,417,429,289,3292.090543491294,101749
219,340,228,443,446,444,78,401,447,59,27,415,417,429,289,3315.992314176562,103669
359,12,69,395,355,451,78,124,241,33,34,437,500,480,311,5660.633717321195,106987
219,340,228,443,446,444,78,490,447,59,0,415,417,429,347,3531.28755890052,110029
7,134,328,450,373,444,364,442,447,37,53,499,449,212,295,4906.5904805637565,113845
378,159,228,266,318,468,88,103,392,63,320,456,421,436,440,4684.12240848233,115869
329,340,228,443,446,444,78,499,447,72,0,415,417,429,347,4017.9189827515042,119085
220,100,265,430,50,456,298,476,489,50,244,390,93,428,27,5142.70244935646,122278
219,340,228,443,446,500,78,401,447,59,0,415,417,429,289,3825.8840670516192,125131
219,423,228,500,446,500,78,401,447,59,28,415,417,429,289,3834.4552311296684,127384
207,342,463,463,429,445,41,312,467,46,83,280,476,320,479,5454.8313051875075,129972
219,340,228,443,446,444,78,401,500,59,0,415,417,429,289,3808.1401242334914,133446
129,30,449,481,427,174,59,497,211,298,449,405,428,205,199,4229.005542510453,133663
219,340,258,443,446,444,78,488,447,59,62,415,417,429,289,3868.5110623575683,136074
219,340,228,443,446,444,78,401,500,146,0,495,417,429,289,4474.650039621217,139631
219,340,228,443,446,444,78,401,447,59,27,482,417,429,289,3712.8367635354807,141547
219,340,228,443,446,444,78,401,447,59,24,415,417,472,289,3602.630177849246,143795
221,439,228,443,446,444,78,401,447,67,27,415,417,429,289,2804.7160109345295,147494
221,478,228,443,446,444,78,401,447,67,27,415,417,429,289,3122.061940494227,150612
500,458,228,443,446,444,78,490,447,69,0,415,471,429,446,3355.2654826289427,154256
36,489,250,44,448,435,224,396,409,69,376,375,500,15,377,4293.42058326433,156874
295,492,455,456,418,285,55,220,500,68,452,373,91,464,360,5159.987804522831,160763
187,457,212,236,125,492,227,410,247,65,4,188,497,500,415,4934.605619415302,164077
362,435,54,32,493,244,440,207,457,67,21,456,337,483,448,4553.157006436849,167848
36,299,354,237,233,292,16,359,3,348,245,170,251,22,325,6964.12493450677,167909
376,499,129,500,265,457,137,500,105,48,159,136,492,458,482,6695.101363376534,169912
500,458,228,443,446,444,78,490,447,69,0,415,471,429,491,3778.6520218928003,174379
221,478,319,443,497,444,78,401,447,67,27,415,417,429,289,4008.4497446711503,178671
201,151,25,139,435,478,90,473,478,69,51,171,426,441,232,4547.176611627061,183077
221,439,228,443,446,444,78,401,447,67,27,500,417,429,289,3399.8110486594014,186119
40,409,456,411,313,46,141,346,200,173,21,484,293,470,1,5517.491609410952,186204
276,315,25,448,446,447,59,201,392,19,93,415,304,174,44,5029.82844321398,187922
154,239,37,33,289,17,294,242,194,269,246,391,305,215,481,6570.66193275812,187968
221,439,228,443,446,444,78,490,447,67,31,415,417,429,289,3241.914981765559,189482
221,439,228,443,446,444,78,490,447,67,31,415,483,429,289,3652.207476306894,190916
485,87,172,128,284,87,216,56,241,17,261,128,378,313,179,6488.522952596342,190962
221,439,228,443,446,444,169,401,447,67,27,415,417,429,289,2777.299291754265,192678
500,458,228,443,446,471,235,490,447,69,37,415,471,429,471,3746.1170365180974,194641
500,458,228,443,446,444,162,490,447,69,0,415,471,440,464,3549.441503940089,195987
221,439,228,470,446,444,169,401,447,67,127,415,417,429,289,3090.224486646466,197420
316,225,165,232,111,169,311,43,430,50,133,0,490,259,76,6361.425496289819,197472
221,439,228,443,446,444,169,401,500,67,27,415,417,429,289,3293.3488724964627,198963
221,439,228,443,456,444,159,401,447,67,27,415,417,429,289,2911.819550550369,200651
341,358,443,21,280,95,456,331,150,253,182,402,440,68,136,5496.148476550844,200700
232,495,136,500,162,436,288,333,152,60,158,383,461,422,1,5711.943047746054,202477
249,475,54,425,479,461,117,459,485,21,89,387,146,296,333,5639.550074252218,204229
221,439,228,476,446,444,126,401,447,67,42,415,417,429,289,3215.266255959322,205682
270,478,228,443,446,444,190,441,447,106,77,415,417,429,289,3406.050462465193,207257
219,453,228,443,446,444,141,401,447,105,0,415,460,429,289,3309.761231540647,209186
221,495,228,443,446,444,169,401,447,67,27,415,417,500,289,3873.0999726151886,210906
221,439,228,443,451,444,180,401,447,164,27,415,417,429,289,2770.1901510129983,212568
377,439,228,470,455,444,180,401,479,190,167,415,417,429,289,3040.5996303505563,214506
295,430,228,443,500,444,195,401,447,122,0,415,417,429,289,3767.609660880634,215924
321,452,21,244,451,482,201,412,407,263,318,420,201,439,117,4425.242144090165,217514
221,478,228,443,452,450,180,401,447,67,27,415,417,429,289,3107.682028966815,219102
377,439,228,470,455,444,180,401,500,190,167,415,417,429,289,3271.4295062455785,220803
221,439,228,455,451,444,180,401,447,164,27,471,417,429,289,3130.201376052378,222528
306,439,228,443,461,444,110,401,447,120,68,415,417,429,289,3617.2523008612834,224247
407,439,284,443,451,444,169,401,486,67,29,415,417,429,289,3329.5899298021177,226056
221,439,228,443,451,444,252,401,447,164,27,415,417,429,289,2947.2005392920028,227444
494,439,228,470,455,444,180,401,479,190,252,415,417,431,289,3462.6714755642715,229016
221,439,326,443,500,444,159,401,447,129,27,415,417,429,289,3910.417515701838,230435
221,439,228,443,446,444,78,401,447,212,27,415,417,429,289,2674.7609692369842,232308
221,478,228,443,446,500,78,401,447,203,27,415,417,429,289,3517.4516866467857,233861
221,439,278,443,446,444,78,401,447,212,27,415,417,429,289,3033.643770544061,235429
221,439,228,443,456,465,179,401,447,226,27,415,417,429,289,2871.3884981271412,236796
89,438,396,457,444,467,363,435,101,208,9,458,406,77,493,3571.440056071426,238557
221,439,228,443,456,465,179,401,447,264,27,415,495,429,289,3691.3472544638325,239949
48,443,27,468,89,156,13,422,453,56,116,481,112,500,208,5178.392474508151,241408
302,281,274,234,260,398,109,500,355,108,1,213,415,184,154,6319.554384272456,241466
221,439,228,500,446,449,169,401,447,218,127,415,417,429,289,3332.4745176399783,242816
221,439,228,443,446,444,78,401,447,145,27,415,417,429,323,2911.278408634854,244371
415,439,228,443,446,444,176,401,447,212,27,429,417,500,289,2950.387315186823,245856
135,342,380,332,202,141,294,442,439,122,3,32,228,365,212,5640.2620575499095,245915
221,439,228,443,446,444,152,401,447,150,27,415,417,429,323,2965.02146015,247290
456,478,58,318,237,446,180,74,6,464,14,458,374,300,500,5414.203391796526,248631
223,439,314,443,456,444,163,401,447,147,27,415,417,429,289,3435.465885989821,250014
215,432,105,76,180,383,432,191,136,326,194,493,268,217,222,4827.6075314111795,250084
221,439,228,443,451,444,180,446,447,164,27,415,417,429,289,2798.6645745824026,251772
221,439,228,443,451,444,280,464,447,164,27,415,417,429,309,3330.20419694287,253076
104,489,495,462,445,451,6,460,20,275,149,183,393,3,464,5027.395309761212,254452
221,439,228,443,446,444,78,401,447,197,27,415,417,500,289,3263.519072370351,255833
221,447,228,443,446,444,78,401,447,212,27,415,452,429,289,2832.9202817757123,257559
284,467,228,443,451,444,252,430,447,227,27,415,442,429,354,3227.2991384580987,259288
221,439,228,443,446,444,78,427,447,170,93,415,417,429,323,2713.297357105607,260549
221,439,228,443,451,444,180,401,447,286,56,415,417,429,341,2849.69359204214,261790
308,381,213,79,95,57,307,359,317,237,238,249,271,449,98,6413.015231926722,261855
221,439,325,443,451,444,180,446,447,164,70,415,417,429,331,3006.165951013251,263333
221,439,228,443,452,444,78,442,447,312,27,415,417,429,289,3203.2649321740028,264813
259,439,180,437,38,431,329,440,148,224,276,424,140,435,9,4325.038782186373,266348
221,439,228,443,446,444,78,427,447,170,93,415,459,429,323,2883.819579675737,267538
221,439,228,443,451,473,215,446,447,164,27,424,417,429,289,2984.198329616137,269025
222,439,318,449,484,500,323,460,138,343,202,474,407,91,369,5281.944910345986,270458
221,439,228,443,446,444,78,428,447,256,88,415,447,429,373,2508.2117247597225,272030
221,439,228,443,446,444,78,428,447,256,88,450,447,429,373,2606.8999056582998,273378
221,439,228,443,458,444,78,428,447,256,88,415,467,429,373,2756.7291385031413,274823
221,500,286,443,446,444,78,428,447,256,88,450,447,459,373,3727.4161064873247,276183
279,437,94,250,339,291,254,38,409,161,319,475,474,432,410,5514.966387322085,277645
231,447,228,443,446,444,78,401,447,212,72,489,452,429,419,2580.8903159396814,279406
120,33,147,9,349,489,282,445,169,220,92,211,3,287,358,6325.387929304968,279476
221,439,228,443,446,444,78,428,447,256,88,500,447,429,373,3103.3067624845944,281135
221,439,228,443,446,444,78,428,447,256,175,450,447,429,373,2503.1409513128024,283036
278,447,98,21,395,443,122,120,494,463,10,468,460,376,481,5068.849080260717,285550
500,265,192,444,399,441,343,500,428,234,175,448,458,425,470,3874.39941710136,288405
221,455,228,443,446,444,78,427,447,255,177,415,448,429,485,2671.0875528647275,290765
221,439,228,443,446,444,78,428,447,256,271,450,447,429,373,2796.3043138961507,292464
261,439,228,443,446,444,78,428,447,334,88,415,447,429,373,2893.628524507078,294348
