x1,x2,x3,x4,x5,x6,x7,x8,value,Timestamp
397,244,53,427,31,16,383,351,2342.1774587043656,6
411,318,203,467,215,300,303,53,3210.1585489782083,11
78,419,158,325,258,147,412,361,2816.6587867769895,49
195,321,484,432,183,212,63,179,2482.17947838484,54
71,217,44,453,269,24,460,432,2356.785296160922,60
72,187,285,242,226,108,416,154,2908.603825233622,66
229,249,4,445,387,436,267,431,1971.1555525265371,73
410,284,141,179,389,352,164,120,2980.085674067675,78
66,415,298,328,77,256,328,143,3722.268851937073,82
69,242,19,425,143,480,338,240,2996.4762548320537,744
46,104,337,446,395,94,448,444,2225.268220538016,1441
84,424,18,474,468,354,146,455,2462.349894346845,2264
452,292,0,500,91,449,183,260,3160.4208164095257,2993
47,222,211,411,439,414,368,385,1383.7500523630056,3697
15,20,166,27,398,455,281,309,3259.1476589265817,4401
11,84,478,430,418,412,271,346,2306.3788230615037,5129
47,260,211,411,439,414,368,385,1649.4797562095646,5917
8,166,440,351,420,465,358,409,1925.6978349253332,6651
278,281,234,22,342,337,141,390,3816.673864898497,6677
44,218,163,27,432,491,406,306,2737.6791345440483,7516
53,488,267,376,478,490,46,325,3545.6610819661523,8278
8,179,420,345,463,433,7,500,2459.6376291855963,9096
138,165,282,201,440,395,204,163,2510.0411498023846,9118
91,230,317,459,311,415,116,395,2923.6902670069567,9993
451,19,412,49,187,445,221,412,1531.0980125789367,10019
47,271,211,411,439,479,368,385,2092.465247357596,10855
162,266,422,124,171,313,35,463,3184.7724976043783,10880
364,273,347,261,358,435,254,425,2878.060371408019,11678
89,260,451,164,495,425,277,379,2822.3793074879577,12539
225,15,360,5,325,421,224,477,2763.1773379134825,13360
58,260,211,411,439,414,368,385,1618.5778826915184,14103
47,303,268,411,439,414,368,385,2204.9545922151387,14774
483,285,436,319,18,453,162,460,2941.621846043272,15481
451,104,226,265,169,448,217,402,2162.943274502422,16285
500,112,208,327,401,385,201,388,2531.787726214988,17082
451,19,412,49,187,489,221,412,1938.2092715335712,17924
1,259,234,180,48,226,343,393,2835.3891204356023,18633
69,260,211,411,485,414,373,385,1960.2769556785768,19469
306,104,66,80,22,445,375,411,2706.0479357161153,20209
33,239,6,389,462,326,357,387,2720.558110053934,20952
233,343,30,108,102,358,263,249,3657.646071385332,20980
47,222,211,411,458,414,368,389,1477.507758688554,21697
330,376,116,420,429,371,415,348,2154.3291611657087,21751
233,258,9,429,198,461,368,341,2509.5414059825243,22541
47,222,211,411,479,414,368,441,1611.4035054289184,23227
500,94,115,9,401,498,338,3,3604.466238227899,23257
37,278,438,30,357,491,281,409,3135.9042157402037,24105
47,222,211,494,439,414,368,385,1905.3105744531813,24781
24,85,259,400,467,430,367,91,2407.2620942976773,25482
485,146,266,35,405,45,297,416,3072.964272424095,26208
388,124,491,2,59,491,63,358,3198.8245849293216,27004
451,19,412,49,187,445,318,412,1966.4133849429377,27783
42,6,315,417,420,440,311,386,2426.352973332091,28523
382,19,399,64,470,223,266,396,2208.4580660342617,29316
451,11,432,49,200,457,105,387,1939.170132330368,29995
467,222,193,54,284,443,180,468,2383.926329357033,30788
139,222,211,411,458,414,368,389,1600.3818893041139,31552
311,59,374,492,434,117,63,115,3267.72112319398,31586
45,234,39,415,429,237,359,435,1913.6836285216118,32456
238,59,215,46,471,214,372,467,2365.771637457855,33284
419,48,477,49,99,131,122,402,2715.353544461753,34016
127,46,196,387,457,411,368,382,1939.309464216366,34816
175,222,211,411,458,414,368,389,1395.3430993978875,35614
232,222,211,411,439,500,368,385,1896.2911937232116,36432
139,222,246,411,458,419,368,389,1784.2370117691437,37165
1,148,425,22,273,45,205,392,2673.507911220907,37204
183,171,405,415,472,76,369,379,1793.4681923862554,37973
267,222,211,411,458,414,368,389,1660.737833766518,38751
47,222,226,411,439,414,368,385,1437.8442034807626,39570
203,222,211,411,439,414,368,479,1425.7368465196387,40307
31,312,227,352,440,437,10,492,2889.015236956447,41096
19,256,255,355,438,259,370,379,2867.789270314573,41863
166,316,211,411,479,414,368,500,2572.763814128126,42641
203,222,211,411,439,414,368,500,1656.5667224146603,43466
47,229,249,411,439,414,368,500,2081.9340672380386,44234
196,222,233,411,473,449,368,389,1635.6533951017818,44916
47,222,214,411,458,414,368,489,1841.921202691265,45794
47,225,226,411,447,414,368,385,1494.9334899300725,46555
203,244,211,411,439,414,368,479,1564.9539766189737,47357
252,222,37,389,440,383,369,402,1811.0575902560286,48132
203,222,211,411,439,414,370,479,1407.0555765045306,48886
76,217,204,400,464,453,368,71,1878.9717373167246,49650
203,222,211,411,477,414,370,479,1713.7207251630216,50455
225,250,228,411,439,414,370,479,1713.8082259979528,51221
478,181,242,381,495,463,370,19,2670.8929351683864,52021
87,346,137,449,390,70,250,114,2977.751252415329,52063
154,230,226,411,439,414,370,385,1510.49966684538,52802
183,222,211,428,439,414,368,385,1252.9649063676047,53494
183,222,211,440,439,414,368,385,1291.9431777379605,54274
