number_of_trees,max_features,bootstrap,min_samples_split,value,Timestamp
3,0.5,1,5,0.4006798440696073,722161
8,0.2291395400855033,0,3,0.47808800452039046,4341161
3,0.19783957154600973,0,8,0.41659596662599235,5054313
8,0.8233551946797129,0,4,0.44854444375392677,8677219
4,0.29960790773661505,0,2,0.3901922599336506,9651697
4,0.9403302809327896,0,2,0.41378985713319183,10616586
3,0.12455883316980844,0,2,0.4018405746922382,11372928
1,0.96962500365353,0,2,0.37921091413478214,12066049
0,1,2,2,0.4161785228895725,12757153
6,0.9390636487937923,0,3,0.39169279927759865,15011469
1,0.4795911469042319,0,6,0.46264913229556603,15664398
1,0.4254061338159449,0,2,0.39800995226389063,16363101
1,1,1,2,0.4633815119887339,17086693
1,1,0,3,0.45801732680637935,17796905
2,1,0,2,0.47470776098861867,18530038
1,0.02627902208291761,0,2,0.45616060195086067,19214744
1,0.8756295966768114,0,2,0.40391695634533764,19928407
1,1,0,2,0.4212294698857262,20658639
1,0.6631188087862209,1,8,0.39124195407906537,21357962
4,0.32155038522186774,0,2,0.44177181938102666,22402173
1,0.8907886579140136,0,2,0.47884899262130576,23133876
6,0.9391727612531723,0,3,0.38795226135511907,25314043
6,0.9374988507623955,0,3,0.4633485114692131,27513268
6,0.9396584109970962,0,3,0.4030308496164209,29753892
6,0.9406352515608413,0,3,0.4076634542098728,31890647
6,0.9412145191589547,0,3,0.4476434733395689,34067363
6,0.9432390264401608,0,3,0.36563410432929644,36299121
6,0.9416843183674208,0,3,0.44116396485125564,38519867
6,0.945788541916696,0,3,0.42081424133905343,40762680
6,0.9421213399321974,0,3,0.41668743258533353,43006364
6,0.9447738619440329,0,3,0.4541905219291384,45245127
6,0.9432654708107261,0,3,0.3901859659278952,47440631
6,0.9421554121270491,0,3,0.42709870434298175,49671495
6,0.9423632416084687,0,3,0.3797526769616659,51926073
6,0.9418877060863896,0,3,0.41227320983299887,54214159
6,0.9420056017214935,0,3,0.3974891497853401,56457264
6,0.9428583077976967,0,3,0.3923090651324342,58715799
6,0.9433614125761522,0,3,0.41630564873412335,60934307
1,0.9695081243141128,1,9,0.4806525248669825,61749716
1,0.96962500365353,0,3,0.41617274084188194,62579521
6,0.9428583077976967,0,4,0.3710553851994503,64824653
6,0.9432390264401608,0,4,0.40550438588277093,67005147
7,0.9428583077976967,0,10,0.46559957369636384,70324432
6,0.9427316729715125,1,5,0.40045138654584145,72504896
6,0.9426488917143399,1,4,0.45884408320770914,74785733
