number_of_trees,max_features,bootstrap,min_samples_split,value,Timestamp
4,0.5315461115261709,0,7,0.27116237945808463,99681.0
6,0.9161103963416942,1,5,0.1030704582878472,404669.0
3,0.9829741284632364,1,6,0.20350449533344392,471842.0
3,0.5677463901976546,1,9,0.32823911590749405,543320.0
6,0.8833400421883609,1,3,0.07489051667934306,851705.0
6,0.8574784863269515,0,7,0.04642050981058982,1180219.0
0,0.9789462661885229,1,5,0.1196907344531595,1225744.0
6,0.769563171847322,0,10,0.10653223537899865,1565356.0
5,0.8423875355102987,0,10,0.09804175894996887,1759284.0
6,0.0005586883218100702,0,10,0.13601354444798022,2101683.0
4,0.2956443189531481,1,5,0.19572178132927515,2223786.0
0,0.0005092701760082267,1,2,0.055358280338324746,2282998.0
2,0.0002313839525044663,1,5,0.2570357635302748,2364130.0
0,0.24875324924342446,1,8,0.2586951715961318,2430230.0
6,0.8368390725947512,0,2,0.07027297493440449,2752699.0
6,0.8535559591518557,1,10,0.04750265436971343,3072833.0
0,0.00016346729302541734,2,10,0.2549649096575871,3103900.0
0,1,2,2,0.043172881379343345,3134691.0
5,0.7892605365980394,1,3,0.06238816890364079,3300179.0
0,1,0,2,0.4167985348446688,3337802.0
4,1,2,2,0.30105009565921903,3442469.0
5,0.7082772327453734,1,9,0.07636198403812257,3645488.0
6,0.9826056397651726,0,10,0.09118572459923335,4170609.0
0,1,1,2,0.030281689369817445,4217410.0
6,0.4027038177820138,0,8,0.07836274903078674,4548195.0
